COUNT,ID_REF,VALUE,
1,3881686,9.37214,663
2,2672712,7.98893,254
3,2842570,8.53343,371
4,3526544,7.4991,181
5,2902531,4.43063,22
6,2402942,7.07852,135
7,3382216,11.3382,2589
8,3771800,9.73864,854
9,2427469,5.02627,33
10,2392945,7.25316,153
11,2453006,4.90809,30
12,3552083,5.94255,62
13,3416651,9.54827,749
14,2562821,9.96996,1003
15,3721851,6.65153,101
16,3442176,8.84789,461
17,2477438,5.66286,51
18,2926969,9.32818,643
19,3026969,5.71899,53
20,3796335,8.21691,298
21,2622772,5.31859,40
22,3636470,9.34015,648
23,2952497,7.22383,149
24,2367537,6.87205,117
25,3332276,4.14216,18
26,2427500,5.14407,35
27,2647315,4.37075,21
28,3136888,8.74898,430
29,3502149,3.6608,13
30,2902559,10.8032,1787
31,3831774,7.37425,166
32,3442205,7.79209,222
33,3026988,9.93325,978
34,2453036,4.86597,29
35,3466634,4.26597,19
36,3991650,7.42012,171
37,3966225,9.36238,658
38,2403080,4.41614,21
39,2867145,8.04311,264
40,3576545,6.93915,123
41,2842624,4.95712,31
42,2902574,8.13754,282
43,2392985,4.9053,30
44,3332298,3.41163,11
45,3806366,4.56926,24
46,3222404,4.19715,18
47,2452948,3.61281,12
48,3721886,7.19,146
49,3661940,12.6958,6635
50,3662041,8.1203,278
51,3416702,4.09353,17
52,2817212,5.31206,40
53,3077072,4.53126,23
54,3636522,10.5434,1492
55,2403099,5.36717,41
56,2672774,5.48643,45
57,2697308,4.8608,29
58,2403111,7.44693,174
59,2562867,9.70477,835
60,3332325,3.60912,12
61,3916290,4.05136,17
62,2902593,4.54854,23
63,2427538,4.50011,23
64,2453065,4.6463,25
65,2902609,3.75045,13
66,3332334,4.03454,16
67,4016308,10.2623,1228
68,2512930,6.84021,115
69,2782694,4.77442,27
70,3612113,3.61378,12
71,3831831,6.34947,82
72,3442249,9.99887,1023
73,2452977,4.57177,24
74,2343170,8.7629,434
75,3721926,9.12108,557
76,2757278,4.36553,21
77,2697331,4.97383,31
78,4016319,3.76441,14
79,3881786,4.73818,27
80,2367599,3.76657,14
81,3382296,6.43507,87
82,3416733,4.02616,16
83,3991698,10.2332,1204
84,3162486,5.0112,32
85,3466687,4.29737,20
86,2427566,9.18478,582
87,3416740,3.94852,15
88,2902633,4.98837,32
89,3722039,5.34828,41
90,2622859,5.45296,44
91,2817251,4.55325,23
92,3112543,7.6617,202
93,2672821,7.12765,140
94,3382319,6.26269,77
95,2977122,4.36179,21
96,3796428,5.26342,38
97,3662086,5.88867,59
98,3636562,4.56058,24
99,3002640,7.22848,150
100,3526655,4.513,23
101,3077128,4.81278,28
102,3662093,10.6212,1575
103,2403158,7.95642,248
104,3246888,5.44988,44
105,3662106,6.30135,79
106,3721956,10.9714,2008
107,3442282,11.709,3348
108,2707359,6.11444,69
109,3881824,8.3678,330
110,2757319,8.68876,413
111,2892652,6.74892,108
112,3722060,8.46801,354
113,2562932,5.05665,33
114,2842707,7.23713,151
115,3746489,4.59362,24
116,3576633,3.94878,15
117,2317686,9.16584,574
118,2697372,5.45419,44
119,3162529,6.73938,107
120,3332388,4.27845,19
121,3416773,4.2353,19
122,3612166,8.74171,428
123,3502259,8.71938,421
124,2343231,4.21102,19
125,3027204,5.25271,38
126,3332403,6.28645,78
127,3806459,8.25483,305
128,3941793,6.41336,85
129,2672857,7.56013,189
130,3466740,8.49552,361
131,2817291,8.40137,338
132,2427619,7.20706,148
133,3186966,8.27959,311
134,2622912,5.94221,61
135,3112584,3.55824,12
136,3137120,5.53799,46
137,3722084,4.56934,24
138,2757347,7.12358,139
139,3442322,4.44471,22
140,3272455,6.04796,66
141,3662139,6.16446,72
142,3721989,9.60362,778
143,3077168,5.40039,42
144,2562965,4.09063,17
145,3332424,3.80963,14
146,3772056,3.55907,12
147,3662150,6.44402,87
148,3831917,8.6643,406
149,2403215,5.9269,61
150,2902707,10.0301,1046
151,2647458,8.09867,274
152,4016396,6.71896,105
153,2732844,4.83516,29
154,3881874,7.02879,131
155,3662158,4.4522,22
156,3442345,4.54029,23
157,2477598,5.70105,52
158,3686587,6.5979,97
159,2587520,7.29752,157
160,2867284,4.83377,29
161,3222534,7.71188,210
162,3662170,3.98263,16
163,3416830,3.56201,12
164,3722129,3.93242,15
165,2902725,7.33561,162
166,3332449,4.36982,21
167,3941848,6.92763,122
168,3416834,4.90452,30
169,3382410,7.5382,186
170,2782822,4.05052,17
171,3576704,6.27218,77
172,2927255,4.96652,31
173,2952679,8.55777,377
174,3077214,4.9544,31
175,4016428,6.18321,73
176,3831945,5.44641,44
177,3991814,6.07492,67
178,2892734,3.74803,13
179,3772090,5.61675,49
180,3806525,8.52275,368
181,2902736,8.08774,272
182,2343289,9.56034,755
183,2892738,7.35972,164
184,3882012,4.47716,22
185,3332465,3.62313,12
186,3662190,3.74446,13
187,3746574,10.9374,1961
188,3662201,9.57563,763
189,2622970,10.3033,1264
190,3416852,3.91599,15
191,3722152,10.0042,1027
192,3416856,3.82055,14
193,2403261,10.4242,1374
194,3686635,3.46387,11
195,2427688,5.58658,48
196,3526772,4.83943,29
197,2367743,9.14822,567
198,2757427,6.95726,124
