COUNT,ID_REF,VALUE,
1,3881686,9.31172,635
2,2672712,8.20373,295
3,2842570,8.7219,422
4,3526544,6.64326,100
5,2902531,4.31477,20
6,2402942,6.86627,117
7,3382216,11.4369,2772
8,3771800,9.93821,981
9,2427469,4.51882,23
10,2392945,6.82963,114
11,2453006,4.7355,27
12,3552083,5.93464,61
13,3416651,9.14152,565
14,2562821,10.176,1157
15,3721851,6.31455,80
16,3442176,8.91353,482
17,2477438,5.1117,35
18,2926969,8.40358,339
19,3026969,6.07093,67
20,3796335,7.82343,227
21,2622772,4.75283,27
22,3636470,9.72924,849
23,2952497,7.22576,150
24,2367537,7.05075,133
25,3332276,3.91181,15
26,2427500,5.09437,34
27,2647315,3.95949,16
28,3136888,9.12027,557
29,3502149,3.74573,13
30,2902559,11.0723,2153
31,3831774,7.84186,229
32,3442205,8.34281,325
33,3026988,10.068,1073
34,2453036,4.57235,24
35,3466634,3.94574,15
36,3991650,7.6971,208
37,3966225,8.68294,411
38,2403080,3.79084,14
39,2867145,8.28399,312
40,3576545,7.35574,164
41,2842624,4.81506,28
42,2902574,8.50459,363
43,2392985,4.61251,24
44,3332298,3.47779,11
45,3806366,4.22924,19
46,3222404,3.84202,14
47,2452948,3.59335,12
48,3721886,7.36817,165
49,3661940,12.7757,7012
50,3662041,7.8567,232
51,3416702,3.75292,13
52,2817212,4.30391,20
53,3077072,4.48664,22
54,3636522,10.6389,1595
55,2403099,4.58687,24
56,2672774,5.00266,32
57,2697308,3.92069,15
58,2403111,8.13583,281
59,2562867,9.60007,776
60,3332325,3.46627,11
61,3916290,3.76751,14
62,2902593,4.45485,22
63,2427538,4.18806,18
64,2453065,4.29913,20
65,2902609,3.7772,14
66,3332334,4.68593,26
67,4016308,10.3998,1351
68,2512930,7.31674,159
69,2782694,4.84269,29
70,3612113,3.51433,11
71,3831831,6.48275,89
72,3442249,10.3335,1290
73,2452977,4.18593,18
74,2343170,8.29185,313
75,3721926,9.14272,565
76,2757278,4.41042,21
77,2697331,4.64077,25
78,4016319,3.45834,11
79,3881786,4.5955,24
80,2367599,3.53287,12
81,3382296,6.29514,79
82,3416733,3.73687,13
83,3991698,10.7024,1666
84,3162486,4.87782,29
85,3466687,3.84562,14
86,2427566,8.15419,285
87,3416740,3.72041,13
88,2902633,4.83889,29
89,3722039,5.75069,54
90,2622859,5.68851,52
91,2817251,4.10275,17
92,3112543,7.53182,185
93,2672821,7.65284,201
94,3382319,6.23028,75
95,2977122,4.19414,18
96,3796428,5.57619,48
97,3662086,5.5419,47
98,3636562,4.17415,18
99,3002640,6.82782,114
100,3526655,4.53378,23
101,3077128,4.81064,28
102,3662093,10.5759,1526
103,2403158,8.16916,288
104,3246888,5.7958,56
105,3662106,6.32615,80
106,3721956,11.029,2090
