COUNT,ID_REF,VALUE,
1,3881686,9.33583,646
2,2672712,8.09931,274
3,2842570,8.85249,462
4,3526544,6.71268,105
5,2902531,4.34587,20
6,2402942,6.8963,119
7,3382216,11.2728,2474
8,3771800,9.73998,855
9,2427469,5.04232,33
10,2392945,6.76253,109
11,2453006,4.73365,27
12,3552083,5.08849,34
13,3416651,8.89625,476
14,2562821,9.73735,854
15,3721851,6.19793,73
16,3442176,8.99809,511
17,2477438,6.42657,86
18,2926969,9.08052,541
19,3026969,5.96062,62
20,3796335,7.98613,254
21,2622772,4.97853,32
22,3636470,8.93218,488
23,2952497,7.93529,245
24,2367537,7.22637,150
25,3332276,3.70396,13
26,2427500,5.38685,42
27,2647315,3.78348,14
28,3136888,9.28081,622
29,3502149,3.80067,14
30,2902559,11.315,2548
31,3831774,7.56373,189
32,3442205,8.19435,293
33,3026988,9.84191,918
34,2453036,4.71885,26
35,3466634,3.95342,15
36,3991650,7.61214,196
37,3966225,8.83129,455
38,2403080,4.65654,25
39,2867145,8.64902,401
40,3576545,7.2347,151
41,2842624,4.5219,23
42,2902574,8.64793,401
43,2392985,5.17189,36
44,3332298,3.66643,13
45,3806366,4.12791,17
46,3222404,3.65289,13
47,2452948,3.6365,12
48,3721886,7.24229,151
49,3661940,12.818,7221
50,3662041,8.17782,290
51,3416702,4.05046,17
52,2817212,4.47349,22
53,3077072,4.55392,23
54,3636522,10.4586,1407
55,2403099,4.1089,17
56,2672774,5.29973,39
57,2697308,3.74536,13
58,2403111,7.94711,247
59,2562867,9.90851,961
60,3332325,4.14185,18
61,3916290,3.82893,14
62,2902593,4.31011,20
63,2427538,3.82517,14
64,2453065,4.03611,16
65,2902609,3.95259,15
66,3332334,4.2184,19
67,4016308,10.1942,1172
68,2512930,7.64278,200
69,2782694,5.13906,35
70,3612113,3.32089,10
71,3831831,5.85593,58
72,3442249,10.1308,1121
73,2452977,4.29041,20
74,2343170,8.92632,487
75,3721926,8.73786,427
76,2757278,4.78894,28
77,2697331,5.07542,34
78,4016319,3.64392,13
79,3881786,4.61484,25
80,2367599,3.76222,14
81,3382296,6.32386,80
82,3416733,3.97263,16
83,3991698,10.2708,1235
84,3162486,5.45642,44
85,3466687,3.96457,16
86,2427566,8.78413,441
87,3416740,4.13775,18
88,2902633,4.93908,31
89,3722039,5.95922,62
90,2622859,5.31823,40
91,2817251,4.17718,18
92,3112543,7.95545,248
93,2672821,7.5727,190
94,3382319,6.35897,82
95,2977122,4.16519,18
96,3796428,5.20618,37
97,3662086,6.44707,87
98,3636562,3.84533,14
99,3002640,7.19513,147
100,3526655,4.4303,22
101,3077128,4.72008,26
102,3662093,10.776,1753
103,2403158,8.02009,260
104,3246888,5.47498,44
105,3662106,7.04868,132
106,3721956,10.8729,1875
107,3442282,11.7993,3564
108,2707359,6.23663,75
109,3881824,8.13193,281
110,2757319,9.04632,529
