COUNT,ID_REF,VALUE,
1,3881686,9.472,710
2,2672712,8.23419,301
3,2842570,8.90542,480
4,3526544,7.22594,150
5,2902531,4.67809,26
6,2402942,7.06395,134
7,3382216,10.9471,1974
8,3771800,9.45187,700
9,2427469,5.09785,34
10,2392945,6.42178,86
11,2453006,5.05745,33
12,3552083,5.76794,54
13,3416651,8.79781,445
14,2562821,9.35623,655
15,3721851,6.23462,75
16,3442176,8.83415,456
17,2477438,5.55749,47
18,2926969,8.74062,428
19,3026969,6.14908,71
20,3796335,7.73133,213
21,2622772,5.10557,34
22,3636470,8.76232,434
23,2952497,7.26333,154
24,2367537,6.66832,102
25,3332276,3.67246,13
26,2427500,5.17659,36
27,2647315,4.05434,17
28,3136888,9.16042,572
29,3502149,4.00896,16
30,2902559,11.3401,2592
31,3831774,7.3457,163
32,3442205,8.18351,291
33,3026988,9.92964,975
34,2453036,4.68962,26
35,3466634,4.44549,22
36,3991650,7.62932,198
37,3966225,9.08056,541
38,2403080,4.67313,26
39,2867145,8.18961,292
40,3576545,7.04827,132
41,2842624,4.90784,30
42,2902574,8.50417,363
43,2392985,4.60226,24
44,3332298,3.91856,15
45,3806366,4.5706,24
46,3222404,3.94949,15
47,2452948,3.40555,11
48,3721886,6.84729,115
49,3661940,12.5901,6166
50,3662041,7.80318,223
51,3416702,4.18841,18
52,2817212,4.52806,23
53,3077072,4.42987,22
54,3636522,10.2726,1237
55,2403099,4.70359,26
56,2672774,5.95518,62
57,2697308,3.76679,14
58,2403111,7.77421,219
59,2562867,9.94319,984
60,3332325,3.81624,14
61,3916290,3.82699,14
62,2902593,4.63688,25
63,2427538,4.13515,18
64,2453065,4.43789,22
65,2902609,4.38022,21
66,3332334,4.16751,18
67,4016308,10.3581,1312
68,2512930,7.60804,195
69,2782694,4.94576,31
70,3612113,3.49551,11
71,3831831,5.7645,54
72,3442249,10.0342,1049
73,2452977,4.4184,21
74,2343170,8.94735,494
75,3721926,8.94436,493
76,2757278,4.70238,26
77,2697331,5.01118,32
78,4016319,3.51933,11
79,3881786,4.44864,22
80,2367599,3.93527,15
81,3382296,6.17072,72
82,3416733,3.95117,15
83,3991698,9.86648,933
84,3162486,4.59672,24
85,3466687,4.10558,17
86,2427566,9.20801,591
87,3416740,3.86405,15
88,2902633,5.06186,33
89,3722039,5.8452,57
90,2622859,5.34008,41
91,2817251,4.64294,25
92,3112543,7.93215,244
93,2672821,7.26135,153
94,3382319,6.33098,81
95,2977122,4.41519,21
96,3796428,4.84265,29
97,3662086,6.60267,97
98,3636562,4.46734,22
99,3002640,6.33836,81
100,3526655,4.50857,23
101,3077128,5.62246,49
102,3662093,10.3796,1332
103,2403158,8.02092,260
104,3246888,4.85635,29
105,3662106,6.44247,87
106,3721956,11.0168,2072
107,3442282,11.6761,3272
108,2707359,6.30699,79
109,3881824,7.67717,205
110,2757319,8.76032,434
111,2892652,6.9956,128
112,3722060,8.32191,320
113,2562932,4.7502,27
114,2842707,6.93172,122
115,3746489,4.36641,21
116,3576633,3.84684,14
117,2317686,8.63085,396
118,2697372,5.25391,38
119,3162529,6.25817,77
120,3332388,4.08237,17
121,3416773,3.91829,15
122,3612166,8.7014,416
123,3502259,8.42277,343
124,2343231,3.91495,15
125,3027204,4.85775,29
126,3332403,6.45123,88
127,3806459,8.32418,320
128,3941793,6.66955,102
129,2672857,8.45226,350
130,3466740,8.38675,335
131,2817291,9.07059,538
132,2427619,6.96834,125
133,3186966,6.79685,111
134,2622912,5.87078,59
135,3112584,3.78035,14
136,3137120,5.18187,36
137,3722084,4.63176,25
138,2757347,7.1564,143
