COUNT,ID_REF,VALUE,
1,3881686,9.69928,831
2,2672712,8.74698,430
3,2842570,9.14446,566
4,3526544,6.71326,105
5,2902531,4.12867,17
6,2402942,7.50318,181
7,3382216,11.5145,2926
8,3771800,9.38002,666
9,2427469,5.72769,53
10,2392945,6.76183,109
11,2453006,4.82332,28
12,3552083,6.29218,78
13,3416651,8.87087,468
14,2562821,9.38775,670
15,3721851,6.37745,83
16,3442176,8.94153,492
17,2477438,7.62898,198
18,2926969,8.30808,317
19,3026969,6.40911,85
20,3796335,8.23114,300
21,2622772,4.81388,28
22,3636470,9.24422,606
23,2952497,6.72198,106
24,2367537,6.99512,128
25,3332276,3.70834,13
26,2427500,5.89893,60
27,2647315,4.25962,19
28,3136888,9.64911,803
29,3502149,3.5955,12
30,2902559,11.5238,2944
31,3831774,7.38265,167
32,3442205,8.05742,266
33,3026988,9.31761,638
34,2453036,4.7708,27
35,3466634,3.88466,15
36,3991650,7.56983,190
37,3966225,8.51347,365
38,2403080,4.32742,20
39,2867145,8.22331,299
40,3576545,6.80835,112
41,2842624,4.62306,25
42,2902574,7.34613,163
43,2392985,4.58732,24
44,3332298,4.61466,24
45,3806366,3.95017,15
46,3222404,3.91993,15
47,2452948,3.81987,14
48,3721886,7.07364,135
49,3661940,12.7619,6946
50,3662041,8.05662,266
51,3416702,3.68343,13
52,2817212,5.08906,34
53,3077072,4.25786,19
54,3636522,9.99112,1018
55,2403099,4.10624,17
56,2672774,5.53614,46
57,2697308,3.77889,14
58,2403111,7.79474,222
59,2562867,9.42574,688
60,3332325,3.98811,16
61,3916290,3.75868,14
62,2902593,4.69587,26
63,2427538,3.95396,15
64,2453065,4.47044,22
65,2902609,3.71294,13
66,3332334,4.30951,20
67,4016308,10.1027,1100
68,2512930,6.73376,106
69,2782694,5.76257,54
70,3612113,3.57126,12
71,3831831,5.78064,55
72,3442249,10.4808,1429
73,2452977,4.40866,21
74,2343170,9.20728,591
75,3721926,9.60585,779
76,2757278,4.99203,32
77,2697331,4.79068,28
78,4016319,3.74056,13
79,3881786,5.45808,44
80,2367599,4.11551,17
81,3382296,6.53333,93
82,3416733,3.55368,12
83,3991698,10.32,1278
84,3162486,3.77922,14
85,3466687,4.10027,17
86,2427566,9.16788,575
