COUNT,ID_REF,VALUE,
1,3881686,9.36365,659
2,2672712,8.31526,319
3,2842570,8.53876,372
4,3526544,7.21597,149
5,2902531,4.91722,30
6,2402942,7.28186,156
7,3382216,11.2378,2415
8,3771800,9.53177,740
9,2427469,5.15042,36
10,2392945,6.86601,117
11,2453006,4.95038,31
12,3552083,5.81571,56
13,3416651,9.1899,584
14,2562821,9.72885,849
15,3721851,6.29867,79
16,3442176,8.5848,384
17,2477438,6.01328,65
18,2926969,8.9112,481
19,3026969,6.01335,65
20,3796335,7.76878,218
21,2622772,5.14069,35
22,3636470,8.84628,460
23,2952497,7.25948,153
24,2367537,6.60083,97
25,3332276,4.28049,19
26,2427500,5.32021,40
27,2647315,4.37456,21
28,3136888,8.83326,456
29,3502149,3.73442,13
30,2902559,10.9705,2007
31,3831774,7.3286,161
32,3442205,8.11412,277
33,3026988,9.68518,823
34,2453036,5.35509,41
35,3466634,4.28832,20
36,3991650,7.28204,156
37,3966225,9.48074,714
38,2403080,4.54004,23
39,2867145,8.02605,261
40,3576545,7.04712,132
41,2842624,4.9173,30
42,2902574,7.91072,241
43,2392985,5.06307,33
44,3332298,3.68443,13
45,3806366,4.48801,22
46,3222404,3.59823,12
47,2452948,3.73416,13
48,3721886,7.29905,157
49,3661940,12.6535,6443
50,3662041,8.06001,267
51,3416702,3.81086,14
52,2817212,4.88055,29
53,3077072,4.78094,27
54,3636522,10.4705,1419
55,2403099,4.99649,32
56,2672774,5.60897,49
57,2697308,4.18552,18
58,2403111,7.4437,174
59,2562867,9.35119,653
60,3332325,4.35652,20
61,3916290,4.28021,19
62,2902593,5.17695,36
63,2427538,4.85848,29
64,2453065,4.63383,25
65,2902609,4.22359,19
66,3332334,4.10231,17
67,4016308,9.16389,574
68,2512930,6.6378,100
69,2782694,4.85754,29
70,3612113,3.61857,12
71,3831831,6.59514,97
72,3442249,10.0816,1084
73,2452977,4.90657,30
74,2343170,8.78581,441
75,3721926,9.33295,645
76,2757278,4.73144,27
77,2697331,4.63356,25
78,4016319,3.96531,16
79,3881786,4.60538,24
80,2367599,4.2439,19
81,3382296,6.50944,91
82,3416733,3.98611,16
83,3991698,10.2779,1242
84,3162486,4.91617,30
85,3466687,4.24552,19
86,2427566,9.44799,698
87,3416740,3.97287,16
88,2902633,5.30225,39
89,3722039,5.89509,60
90,2622859,5.65156,50
91,2817251,4.86308,29
92,3112543,7.87825,235
93,2672821,6.9449,123
94,3382319,6.43607,87
95,2977122,4.23686,19
96,3796428,5.39637,42
97,3662086,6.41313,85
98,3636562,4.17149,18
99,3002640,6.77784,110
100,3526655,4.69011,26
101,3077128,4.79935,28
102,3662093,10.5833,1534
103,2403158,8.07642,270
104,3246888,5.41985,43
105,3662106,6.4417,87
106,3721956,11.1209,2227
107,3442282,11.5623,3024
108,2707359,6.3114,79
109,3881824,7.83152,228
110,2757319,7.46738,177
111,2892652,7.02572,130
112,3722060,8.62548,395
113,2562932,5.39517,42
114,2842707,6.50864,91
115,3746489,4.26206,19
116,3576633,3.90202,15
117,2317686,8.93255,489
118,2697372,5.2136,37
119,3162529,6.66176,101
120,3332388,4.49827,23
121,3416773,4.17059,18
122,3612166,8.56483,379
123,3502259,8.86561,466
124,2343231,4.48752,22
125,3027204,5.52586,46
126,3332403,6.40784,85
127,3806459,8.73355,426
128,3941793,6.33939,81
129,2672857,7.8108,225
130,3466740,8.21124,296
131,2817291,8.28758,312
132,2427619,6.54615,93
133,3186966,7.18753,146
134,2622912,5.76905,55
135,3112584,3.96417,16
136,3137120,5.33396,40
137,3722084,4.67375,26
138,2757347,6.99937,128
139,3442322,4.61779,25
140,3272455,6.05829,67
141,3662139,5.97819,63
142,3721989,9.74327,857
143,3077168,6.06496,67
144,2562965,4.33533,20
145,3332424,3.64441,13
146,3772056,3.71318,13
147,3662150,6.00034,64
148,3831917,8.15613,285
149,2403215,6.06658,67
150,2902707,10.479,1427
151,2647458,8.34765,326
152,4016396,6.36199,82
153,2732844,5.21569,37
154,3881874,6.86689,117
155,3662158,3.59715,12
156,3442345,4.57057,24
157,2477598,5.30994,40
158,3686587,6.65474,101
159,2587520,7.29494,157
160,2867284,4.60001,24
161,3222534,7.70837,209
162,3662170,3.67768,13
163,3416830,3.34737,10
164,3722129,4.08905,17
165,2902725,6.51894,92
166,3332449,4.63234,25
167,3941848,6.31582,80
168,3416834,4.25025,19
169,3382410,7.13872,141
170,2782822,3.7742,14
171,3576704,8.13937,282
172,2927255,5.09824,34
173,2952679,8.3968,337
174,3077214,5.37713,42
175,4016428,6.88834,118
176,3831945,5.63917,50
177,3991814,6.00869,64
178,2892734,3.62633,12
179,3772090,5.35495,41
180,3806525,8.41339,341
181,2902736,8.6095,391
182,2343289,9.69613,830
183,2892738,7.54864,187
184,3882012,4.11057,17
185,3332465,3.55925,12
186,3662190,3.85572,14
187,3746574,10.931,1952
188,3662201,9.76231,868
189,2622970,10.4667,1415
190,3416852,3.74221,13
191,3722152,9.66112,810
192,3416856,3.84325,14
193,2403261,10.4825,1431
194,3686635,3.5071,11
195,2427688,5.93026,61
196,3526772,5.18854,36
197,2367743,8.97284,502
198,2757427,6.94616,123
199,3466826,9.4248,687
200,3077244,4.35265,20
201,3831975,6.82726,114
202,3442396,9.09689,548
203,2817386,8.54305,373
204,2343334,4.95272,31
205,2427720,8.35716,328
206,3942007,4.6629,25
207,3941907,6.93424,122
208,3722182,4.4256,21
209,3576749,7.24903,152
210,3332511,4.77756,27
211,3662236,6.8665,117
212,2403301,5.01957,32
213,2697490,7.15932,143
214,2672966,9.39586,674
215,2977265,11.2026,2357
216,3296981,8.13355,281
217,3746625,3.60221,12
218,3306984,6.33188,81
219,3442427,7.96222,249
220,4016485,4.76605,27
221,3416895,5.29959,39
222,3942021,10.0386,1052
223,3722195,4.04195,16
224,2892800,4.48633,22
225,3077273,8.69554,415
226,3662247,3.87977,15
227,4041923,5.7805,55
228,3272566,7.78646,221
229,3416909,7.2966,157
230,3772158,4.62904,25
231,2902804,4.89778,30
232,3552344,5.80533,56
233,3112713,5.52718,46
234,3332530,4.97324,31
235,3882069,8.11736,278
236,2732942,7.5227,184
237,2673085,4.29875,20
238,3416921,5.25243,38
239,2623139,6.8059,112
240,3856554,5.22005,37
241,3526831,7.10351,138
242,2367793,7.44208,174
243,2587618,8.75276,431
244,3662265,9.09888,548
245,2842860,7.56306,189
246,3991889,12.8588,7428
247,3502411,5.18946,36
248,3307120,7.16458,143
249,2403335,7.12612,140
250,3332548,6.04011,66
251,2867392,6.19315,73
252,2623154,5.66963,51
253,3916527,9.128,560
254,3796620,10.4758,1424
255,2952781,5.28059,39
256,3247172,4.87567,29
257,3772187,3.83125,14
258,3416943,6.36727,83
259,3941958,6.80809,112
260,2477731,4.65673,25
261,3077321,5.08202,34
262,3576812,7.5154,183
263,2453307,7.80883,224
264,3942062,7.60733,195
265,3382523,4.29198,20
266,3722248,4.36015,21
267,3442475,5.26503,38
268,2902844,4.82316,28
269,3746675,4.60782,24
270,3686728,8.02312,260
271,3502437,5.24838,38
272,2817464,5.55895,47
273,2673136,5.71797,53
274,3332576,5.06708,34
275,2623180,7.14826,142
276,2697564,9.82563,907
277,3856594,5.96811,63
278,2427791,4.99453,32
279,2867432,4.2183,19
280,2367843,5.69543,52
281,2343418,4.50227,23
282,2842911,4.76575,27
283,3992041,5.81472,56
284,3806654,3.4448,11
285,2867443,8.66297,405
286,3686750,4.93073,30
287,3417075,7.51564,183
288,3416977,6.65747,101
289,2757540,6.47929,89
290,3442514,4.98653,32
291,3002873,9.40994,680
292,4016572,9.91487,965
293,2952834,5.62727,49
294,3662333,5.3834,42
295,3916576,8.05186,265
296,3722286,4.98903,32
297,3332615,9.77801,878
298,2902884,6.61588,98
299,3502475,4.43041,22
300,2647647,7.77826,220
301,3416996,6.96718,125
302,3942124,4.35925,21
303,3332626,8.06677,268
304,3746734,3.73796,13
305,2453365,7.1506,142
306,2673181,7.93724,245
307,3856646,5.75407,54
308,2842951,7.5711,190
309,3806689,10.0226,1040
310,2453370,9.15256,569
311,2367892,5.70821,52
312,3502497,6.01783,65
313,2783099,5.69307,52
314,3991992,6.07429,67
315,3806711,7.27285,155
316,2343473,8.82319,453
317,3272686,6.34631,81
318,2623249,7.14705,142
319,3772279,6.12751,70
320,3576889,7.42564,172
321,3882190,5.02846,33
322,2587730,4.56318,24
323,3272706,4.5752,24
324,3722338,5.02505,33
325,2903034,4.52478,23
326,2902935,6.01911,65
327,2403446,5.41188,43
328,3942161,7.20024,147
329,3417146,4.67256,26
330,3332663,4.65517,25
331,3662387,9.32913,643
332,3882214,3.61085,12
333,4016639,6.90583,120
334,3832256,7.12951,140
335,2697652,4.97633,31
336,2952893,4.95231,31
337,2587747,5.58674,48
338,3442579,6.03693,66
339,3722355,7.12692,140
340,2343511,5.96786,63
341,2843091,6.60217,97
342,2757621,6.24846,76
343,3417161,9.99105,1018
344,3636879,5.19163,37
345,3942179,7.81643,225
346,2733202,3.48809,11
347,2902958,5.86027,58
348,2403470,6.62491,99
349,2318086,10.5027,1451
350,2817576,6.05989,67
351,3662417,4.82851,28
352,3272736,5.56817,47
353,3576937,5.99558,64
354,2427898,5.77206,55
355,3832280,3.92072,15
356,3992148,5.7024,52
357,3882241,4.87009,29
358,2952927,4.56722,24
359,3027503,5.85921,58
360,3746809,3.88529,15
361,3856720,4.81902,28
362,2927506,4.53513,23
363,2623308,7.50801,182
364,2673257,4.96387,31
365,3637006,6.84904,115
366,2903075,6.46852,89
367,3417184,7.32225,160
368,2367963,8.20097,294
369,3832292,5.51382,46
370,3722384,7.03831,131
371,3502570,8.96755,501
372,2843131,5.60783,49
373,2892979,6.57588,95
374,3357237,8.33857,324
375,2647742,8.41757,342
376,3417201,6.41862,86
377,3832308,4.24683,19
378,2427930,6.70405,104
379,2673270,9.73328,851
380,3272761,4.91613,30
381,3662444,4.76238,27
382,2977471,5.38398,42
383,2587790,9.36461,659
384,3916686,4.2413,19
385,3882265,4.34256,20
386,3332729,4.66916,25
387,3003107,6.16343,72
388,3442641,4.64981,25
389,2893109,3.99284,16
390,2952959,5.58291,48
391,3722417,8.6744,409
392,2697721,4.09787,17
393,3027538,7.82482,227
394,3746845,5.20605,37
395,3577078,11.0042,2054
396,2783207,5.10609,34
397,3077502,6.30695,79
398,2843163,5.62562,49
399,2478017,7.79417,222
400,2977510,6.47239,89
401,3382698,5.60864,49
402,2673312,4.90502,30
403,2393538,5.4517,44
404,4016726,4.11963,17
405,2893130,7.37785,166
406,2318157,4.91165,30
407,3272795,5.60234,49
408,3882304,3.49596,11
409,3357279,9.04107,527
410,3636956,5.48316,45
411,3942259,3.55604,12
412,2477933,4.59109,24
413,2587841,8.75278,431
414,3502632,6.63306,99
415,2623367,4.31891,20
416,2647792,11.2726,2474
417,3417249,7.24045,151
418,2318170,5.95954,62
419,3003143,4.13712,18
420,2428079,6.00683,64
421,3357303,7.59943,194
422,2427981,5.73956,53
423,2538000,6.37337,83
424,2403557,6.2194,75
425,3746881,9.51166,730
426,2757720,5.74942,54
427,2513471,10.8351,1827
428,3003153,9.68602,824
429,2733287,7.6529,201
430,2707764,10.9802,2020
431,4042278,3.46476,11
432,2843209,7.55845,189
433,3272834,6.77996,110
434,2673345,5.40874,42
435,3636985,4.42488,21
436,2623388,7.09845,137
437,3442706,4.12022,17
438,3832383,7.24252,151
439,2927604,9.36312,659
440,3882343,4.08481,17
441,3772437,4.07398,17
442,2428119,8.3301,322
443,2403585,6.34953,82
444,2318212,4.28704,20
445,2623413,6.1401,71
446,2953139,6.50147,91
447,2817708,4.31803,20
448,2697792,8.492,360
449,2757751,6.23676,75
450,3577160,9.47611,712
451,2477980,5.55546,47
452,3137530,7.35787,164
453,3662545,8.75898,433
454,3357346,5.49607,45
455,2903189,7.5933,193
456,3077573,7.08942,136
457,2623426,9.45357,701
458,3417309,11.3379,2588
459,3003193,7.69036,207
460,2368180,7.63843,199
461,3882369,4.39939,21
462,4016806,3.9351,15
463,2563481,7.74233,214
464,2817731,8.72744,424
465,2318242,5.48176,45
466,2623441,5.82895,57
467,2707824,6.95669,124
468,3332838,6.57062,95
469,3806905,8.14797,284
470,3502710,9.4242,687
471,3442752,3.92891,15
472,3832435,7.3272,161
473,2368198,6.72408,106
474,3992304,3.89186,15
475,3806913,8.11806,278
476,2783316,6.48529,90
477,3882387,4.25998,19
478,3113133,4.90461,30
479,3797015,6.48993,90
480,2733360,5.27606,39
481,2867693,8.40322,339
482,3942350,6.70609,104
483,3003228,9.84467,919
484,3722535,5.6968,52
485,2318257,5.20875,37
486,2697839,4.88798,30
487,2513554,9.69486,829
488,2587937,4.65294,25
489,2977621,7.97077,251
490,3417345,4.32984,20
491,2757796,5.52224,46
492,3882413,4.08023,17
493,2843283,6.30878,79
494,3797032,10.7406,1711
495,3442774,3.9042,15
496,3832457,6.19872,73
497,2393654,6.82295,113
498,3552684,4.46873,22
499,3382830,4.31814,20
500,3722554,7.44046,174
501,2647898,7.7355,213
502,3467315,4.49684,23
503,3417356,5.05107,33
504,3357397,4.98847,32
505,3442785,4.31074,20
506,2697863,5.88759,59
507,3662612,7.51468,183
508,2733392,3.93575,15
509,2903258,4.14312,18
510,2563536,3.89687,15
511,2587961,13.2852,9983
512,3856908,4.8692,29
513,3772525,8.34578,325
514,3942384,4.66141,25
515,3332886,7.99715,255
516,3417371,7.3351,161
517,2588066,11.4596,2816
518,2707876,4.55995,24
519,3163136,10.5145,1463
520,4042392,6.75075,108
521,3442812,3.99808,16
522,3053229,8.26127,307
523,3113180,11.7255,3386
524,3577246,9.50727,728
525,3992354,10.8331,1824
526,2817793,6.83095,114
527,3382861,11.0784,2162
528,3942411,4.22089,19
529,2623515,7.9862,254
530,3332913,5.11383,35
531,3552729,7.77211,219
532,2648041,4.26011,19
533,3577256,5.49941,45
534,2697902,5.49398,45
535,3113202,7.02262,130
536,3467351,10.4691,1417
537,2903285,6.65165,101
538,3187577,5.32856,40
539,2403707,5.29172,39
540,2927722,7.83042,228
541,2393711,7.13936,141
542,2707909,7.6776,205
543,3662650,9.28701,625
544,2318338,5.40372,42
545,3796992,4.5904,24
546,2953262,4.5911,24
547,3577277,6.55105,94
548,3332938,7.82066,226
549,2977690,6.49229,90
550,3272981,7.49688,181
551,3527332,4.04049,16
552,2673503,4.94915,31
553,2817837,7.37801,166
554,3442854,10.3727,1326
555,2867788,4.07084,17
556,2648074,4.15604,18
557,3527340,3.45758,11
558,2673509,8.39947,338
559,3772581,6.99195,127
560,2588127,9.32219,640
561,3527342,4.76089,27
562,3992408,9.91572,966
563,3417435,5.21223,37
564,2403740,7.93971,246
565,2393740,7.41007,170
566,3163200,5.34418,41
567,3527348,3.52351,11
568,2318364,4.7379,27
569,3297536,8.73184,425
570,3502829,6.20344,74
571,3662687,4.45202,22
572,3332964,5.78773,55
573,3223157,10.0937,1093
574,2623568,5.4623,44
575,2903343,9.188,583
576,3966891,5.54822,47
577,2648098,3.77719,14
578,3662696,9.57956,765
579,2733483,4.47547,22
580,3942472,5.12891,35
581,3722656,5.24637,38
582,3687232,5.1395,35
583,3417457,9.85185,924
584,3662710,5.16302,36
585,3053312,5.14849,35
586,3857105,9.80914,897
587,2708066,4.61161,24
588,4016955,4.2123,19
589,4017056,3.73213,13
590,3882533,7.61192,196
591,2867836,5.49653,45
592,2343823,10.4391,1388
593,3967018,4.42457,21
594,3527377,4.49759,23
595,2673547,5.21076,37
596,3333086,4.86919,29
597,3383046,5.31826,40
598,3662723,7.74777,215
599,3382948,6.03218,65
600,3916964,4.60394,24
601,2428313,6.32753,80
602,3747199,5.92302,61
603,3942502,5.18534,36
604,2318398,5.46125,44
605,3113280,6.7189,105
606,3966929,4.94268,31
607,3027808,8.79881,445
608,3722681,7.98641,254
609,3527390,4.80841,28
610,2623611,5.40634,42
611,2758043,7.42138,171
612,3917073,4.89653,30
613,2478269,11.1837,2326
614,2757944,4.52038,23
615,2563654,6.33523,81
616,3687260,8.79882,445
617,3417485,10.1674,1150
618,2318416,4.13752,18
619,2648141,9.18551,582
620,2783473,7.06729,134
621,3307580,4.1658,18
622,3417500,5.22804,37
623,2403793,7.90224,239
624,3077766,5.92739,61
625,3333116,8.44374,348
626,3722700,5.8073,56
