COUNT,ID_REF,VALUE,
1,3881686,9.39665,674
2,2672712,8.43296,346
3,2842570,8.91746,484
4,3526544,7.00963,129
5,2902531,4.30446,20
6,2402942,7.03429,131
7,3382216,11.4339,2767
8,3771800,9.21219,593
9,2427469,5.10218,34
10,2392945,6.91577,121
11,2453006,5.07375,34
12,3552083,5.30899,40
13,3416651,9.59196,772
14,2562821,10.1544,1140
15,3721851,6.6503,100
16,3442176,8.92454,486
17,2477438,6.31329,80
18,2926969,9.01106,516
19,3026969,6.49145,90
20,3796335,8.11717,278
21,2622772,5.39395,42
22,3636470,9.72717,848
23,2952497,8.0988,274
24,2367537,6.93342,122
25,3332276,3.67932,13
26,2427500,5.74731,54
27,2647315,3.88843,15
28,3136888,8.82192,453
29,3502149,3.68544,13
30,2902559,11.2613,2455
31,3831774,7.95998,249
32,3442205,8.57623,382
33,3026988,9.47978,714
34,2453036,4.94031,31
35,3466634,4.07898,17
36,3991650,8.21628,297
37,3966225,8.85066,462
38,2403080,4.68099,26
39,2867145,9.06539,536
40,3576545,7.17435,144
41,2842624,4.83738,29
42,2902574,6.52702,92
43,2392985,4.98918,32
44,3332298,3.33016,10
45,3806366,4.10856,17
46,3222404,3.40618,11
47,2452948,4.10763,17
48,3721886,7.3551,164
49,3661940,12.76,6937
50,3662041,8.3349,323
51,3416702,4.06396,17
52,2817212,4.55281,23
53,3077072,4.1403,18
54,3636522,10.908,1921
55,2403099,4.59551,24
56,2672774,6.34467,81
57,2697308,3.62368,12
58,2403111,7.95641,248
59,2562867,9.77546,876
60,3332325,3.55568,12
61,3916290,3.56238,12
62,2902593,4.19808,18
63,2427538,4.03353,16
64,2453065,4.31563,20
65,2902609,4.01016,16
66,3332334,4.06307,17
67,4016308,10.5598,1509
68,2512930,7.52208,184
69,2782694,4.49568,23
70,3612113,3.34152,10
71,3831831,5.92595,61
72,3442249,9.56162,756
73,2452977,4.19023,18
74,2343170,8.76513,435
75,3721926,8.9226,485
76,2757278,4.839,29
77,2697331,4.85509,29
78,4016319,3.48562,11
79,3881786,5.44665,44
80,2367599,3.81933,14
81,3382296,6.56011,94
82,3416733,3.69688,13
83,3991698,10.8918,1900
84,3162486,5.39848,42
85,3466687,3.88281,15
86,2427566,8.48422,358
87,3416740,3.65661,13
88,2902633,4.45669,22
89,3722039,5.5503,47
90,2622859,5.61357,49
91,2817251,4.01682,16
92,3112543,7.85635,232
93,2672821,7.74011,214
94,3382319,6.17035,72
95,2977122,4.10816,17
96,3796428,5.15704,36
97,3662086,6.36727,83
98,3636562,3.76874,14
99,3002640,6.83408,114
100,3526655,4.49911,23
101,3077128,4.30206,20
102,3662093,10.9028,1915
103,2403158,8.19993,294
104,3246888,4.90391,30
105,3662106,6.822,113
106,3721956,10.7003,1664
107,3442282,12.1042,4403
108,2707359,6.93821,123
109,3881824,8.56277,378
110,2757319,9.41908,685
111,2892652,7.61674,196
112,3722060,8.79393,444
113,2562932,5.70382,52
114,2842707,8.11085,276
115,3746489,4.41006,21
116,3576633,3.66358,13
117,2317686,9.04927,530
118,2697372,5.05633,33
119,3162529,6.3697,83
120,3332388,3.76546,14
121,3416773,4.00887,16
122,3612166,8.75498,432
123,3502259,8.66215,405
124,2343231,4.01879,16
125,3027204,5.19142,37
126,3332403,5.48477,45
127,3806459,7.97159,251
128,3941793,7.15959,143
129,2672857,8.18551,291
130,3466740,8.92241,485
131,2817291,7.71481,210
132,2427619,7.68306,206
133,3186966,8.14866,284
134,2622912,6.69452,104
135,3112584,3.73287,13
136,3137120,5.79923,56
137,3722084,4.42667,22
138,2757347,8.05723,266
139,3442322,4.15774,18
140,3272455,5.80775,56
141,3662139,5.78006,55
142,3721989,9.58091,766
143,3077168,5.14446,35
144,2562965,3.8692,15
145,3332424,3.70022,13
146,3772056,3.56554,12
147,3662150,7.76426,217
148,3831917,8.69613,415
149,2403215,5.38791,42
150,2902707,10.4058,1357
151,2647458,9.16702,575
152,4016396,6.12637,70
153,2732844,5.29898,39
154,3881874,6.77268,109
155,3662158,4.4769,22
156,3442345,4.25744,19
157,2477598,5.29008,39
158,3686587,6.68554,103
159,2587520,8.66141,405
160,2867284,4.50634,23
161,3222534,6.99219,127
162,3662170,3.5788,12
163,3416830,3.23721,9
164,3722129,4.22361,19
165,2902725,8.73447,426
166,3332449,4.06908,17
167,3941848,7.20992,148
168,3416834,3.52196,11
169,3382410,7.16502,144
170,2782822,4.06173,17
171,3576704,6.05424,66
172,2927255,5.93517,61
173,2952679,9.89371,951
174,3077214,3.63908,12
175,4016428,6.83934,115
176,3831945,5.25935,38
177,3991814,5.7971,56
178,2892734,3.61054,12
179,3772090,5.0801,34
180,3806525,8.76328,435
181,2902736,9.56469,757
182,2343289,10.2957,1257
183,2892738,7.45851,176
184,3882012,4.05944,17
185,3332465,3.62773,12
186,3662190,3.52292,11
187,3746574,11.0956,2188
188,3662201,9.90646,960
189,2622970,10.0057,1028
190,3416852,3.2821,10
191,3722152,10.1053,1102
192,3416856,3.51872,11
193,2403261,10.5677,1518
194,3686635,3.64056,12
195,2427688,7.12965,140
196,3526772,4.7662,27
197,2367743,9.10643,551
198,2757427,7.22777,150
199,3466826,10.233,1203
200,3077244,3.6164,12
201,3831975,5.87505,59
202,3442396,9.90191,957
203,2817386,8.81489,450
204,2343334,4.45625,22
205,2427720,8.80089,446
206,3942007,4.46533,22
207,3941907,5.94336,62
208,3722182,4.4443,22
209,3576749,6.98233,126
210,3332511,4.92665,30
211,3662236,5.15018,36
212,2403301,6.30561,79
213,2697490,6.99523,128
214,2672966,10.0236,1041
215,2977265,10.6433,1599
216,3296981,8.48072,357
217,3746625,3.80191,14
218,3306984,6.96996,125
219,3442427,7.61357,196
220,4016485,4.23042,19
221,3416895,5.6284,49
222,3942021,8.65474,403
223,3722195,4.30783,20
224,2892800,4.14946,18
225,3077273,9.58316,767
226,3662247,4.32318,20
227,4041923,5.45499,44
228,3272566,8.55327,376
229,3416909,8.7702,437
230,3772158,4.50537,23
231,2902804,4.53901,23
232,3552344,4.25379,19
