COUNT,ID_REF,VALUE,
1,3881686,9.97566,1007
2,2672712,8.60598,390
3,2842570,8.60743,390
4,3526544,6.87464,117
5,2902531,4.49275,23
6,2402942,7.6691,204
7,3382216,11.3848,2674
8,3771800,9.41088,681
9,2427469,5.14093,35
10,2392945,7.01864,130
11,2453006,4.78962,28
12,3552083,5.18248,36
13,3416651,9.88027,942
14,2562821,10.7739,1751
15,3721851,6.51377,91
16,3442176,8.84491,460
17,2477438,6.52109,92
18,2926969,9.2877,625
19,3026969,5.7472,54
20,3796335,7.69904,208
21,2622772,5.43907,43
22,3636470,9.47168,710
23,2952497,7.4526,175
24,2367537,6.90394,120
25,3332276,4.45899,22
26,2427500,5.18818,36
27,2647315,4.4057,21
28,3136888,8.91146,482
29,3502149,3.72038,13
30,2902559,11.3425,2597
31,3831774,7.02419,130
32,3442205,8.48381,358
33,3026988,9.26139,614
34,2453036,5.22653,37
35,3466634,4.05695,17
36,3991650,7.38467,167
37,3966225,9.55186,751
38,2403080,4.40467,21
39,2867145,8.23874,302
40,3576545,6.67504,102
41,2842624,5.1444,35
42,2902574,7.49346,180
43,2392985,4.78365,28
44,3332298,3.95317,15
45,3806366,4.2605,19
46,3222404,3.64939,13
47,2452948,3.62252,12
48,3721886,7.52024,184
49,3661940,12.6703,6518
50,3662041,8.07981,271
51,3416702,4.58657,24
52,2817212,4.75235,27
53,3077072,4.51845,23
54,3636522,10.1854,1164
55,2403099,4.5544,23
56,2672774,5.6834,51
57,2697308,4.10644,17
58,2403111,7.9934,255
59,2562867,9.88009,942
60,3332325,4.06535,17
61,3916290,3.75147,13
62,2902593,4.90109,30
63,2427538,4.52119,23
64,2453065,4.39645,21
65,2902609,3.80388,14
66,3332334,4.02564,16
67,4016308,9.51467,731
68,2512930,6.93855,123
69,2782694,4.9342,31
70,3612113,3.5381,12
71,3831831,5.85397,58
72,3442249,10.5488,1498
73,2452977,4.26095,19
74,2343170,8.60227,389
75,3721926,9.5608,755
76,2757278,4.46833,22
77,2697331,5.08381,34
78,4016319,3.71254,13
79,3881786,4.55325,23
80,2367599,4.2993,20
81,3382296,6.71282,105
82,3416733,3.71614,13
83,3991698,10.2267,1198
84,3162486,5.31481,40
85,3466687,4.17881,18
86,2427566,9.18176,581
87,3416740,4.2477,19
88,2902633,4.978,32
89,3722039,6.44574,87
90,2622859,5.72142,53
91,2817251,4.20189,18
92,3112543,7.63057,198
93,2672821,7.17251,144
94,3382319,6.52691,92
95,2977122,4.43135,22
96,3796428,5.14446,35
97,3662086,6.04777,66
98,3636562,4.21554,19
99,3002640,7.24247,151
100,3526655,4.73276,27
101,3077128,4.15618,18
102,3662093,10.5614,1511
103,2403158,8.81466,450
104,3246888,5.50194,45
105,3662106,7.01441,129
106,3721956,10.8883,1895
107,3442282,11.9201,3875
108,2707359,6.30523,79
109,3881824,8.46478,353
110,2757319,8.87572,470
111,2892652,7.30673,158
112,3722060,8.85129,462
113,2562932,5.83417,57
114,2842707,6.9384,123
115,3746489,4.22046,19
116,3576633,3.88768,15
117,2317686,9.0603,534
118,2697372,4.92081,30
119,3162529,6.71735,105
