COUNT,ID_REF,VALUE,
1,3881686,9.32948,643
2,2672712,8.30389,316
3,2842570,8.51862,367
4,3526544,6.85323,116
5,2902531,4.44644,22
6,2402942,7.19175,146
7,3382216,11.4008,2704
8,3771800,9.54382,746
9,2427469,4.90262,30
10,2392945,7.05397,133
11,2453006,5.07129,34
12,3552083,5.97498,63
13,3416651,9.30111,631
14,2562821,9.66348,811
15,3721851,5.98049,63
16,3442176,8.85022,462
17,2477438,5.65571,50
18,2926969,8.5246,368
19,3026969,5.50044,45
20,3796335,8.0699,269
21,2622772,5.61006,49
22,3636470,9.32277,640
23,2952497,7.81498,225
24,2367537,6.89139,119
25,3332276,3.98905,16
26,2427500,5.30382,40
27,2647315,4.41984,21
28,3136888,9.00003,512
29,3502149,3.95233,15
30,2902559,11.09,2180
31,3831774,7.15541,143
32,3442205,8.33674,323
33,3026988,9.50329,726
34,2453036,4.70257,26
35,3466634,4.34441,20
36,3991650,7.26795,154
37,3966225,9.02023,519
38,2403080,5.08633,34
39,2867145,8.15186,284
40,3576545,6.80949,112
41,2842624,4.86806,29
42,2902574,8.1205,278
43,2392985,4.52579,23
44,3332298,3.63884,12
45,3806366,4.59794,24
46,3222404,3.85424,14
47,2452948,3.99034,16
48,3721886,7.11643,139
49,3661940,12.7934,7099
50,3662041,7.62554,197
51,3416702,4.01527,16
52,2817212,5.32068,40
53,3077072,4.52949,23
54,3636522,10.6686,1628
55,2403099,5.40659,42
56,2672774,5.42475,43
57,2697308,4.34503,20
58,2403111,6.87892,118
59,2562867,9.50556,727
60,3332325,3.76571,14
61,3916290,3.79628,14
62,2902593,4.56762,24
63,2427538,4.43054,22
64,2453065,4.50635,23
65,2902609,4.2462,19
66,3332334,4.27694,19
67,4016308,9.963,998
68,2512930,6.79002,111
69,2782694,5.53847,46
70,3612113,3.50619,11
71,3831831,6.22015,75
72,3442249,10.3829,1335
73,2452977,4.47584,22
74,2343170,8.65153,402
75,3721926,8.79636,445
76,2757278,4.94032,31
77,2697331,5.05863,33
78,4016319,3.65838,13
79,3881786,4.96479,31
80,2367599,4.09371,17
81,3382296,6.49729,90
82,3416733,3.87819,15
83,3991698,10.4238,1374
84,3162486,4.62128,25
85,3466687,4.35517,20
86,2427566,8.22829,300
87,3416740,4.15251,18
88,2902633,5.04013,33
89,3722039,5.6759,51
90,2622859,5.61501,49
91,2817251,4.51538,23
92,3112543,7.5286,185
93,2672821,6.8598,116
94,3382319,6.2108,74
95,2977122,4.1549,18
96,3796428,5.3354,40
97,3662086,6.85865,116
98,3636562,4.10715,17
99,3002640,6.51041,91
100,3526655,4.49213,23
101,3077128,4.75554,27
102,3662093,10.5472,1496
103,2403158,8.23417,301
104,3246888,5.87804,59
105,3662106,7.34926,163
106,3721956,10.9807,2021
107,3442282,11.4842,2865
108,2707359,6.26643,77
109,3881824,8.31942,319
110,2757319,8.60986,391
111,2892652,6.74688,107
112,3722060,8.40231,338
113,2562932,5.1781,36
114,2842707,7.23404,151
115,3746489,4.68755,26
116,3576633,4.08506,17
117,2317686,8.91338,482
118,2697372,5.50609,45
119,3162529,5.62251,49
120,3332388,4.25493,19
121,3416773,4.30103,20
122,3612166,8.77449,438
123,3502259,8.36168,329
124,2343231,4.1362,18
125,3027204,5.61469,49
126,3332403,5.94854,62
127,3806459,8.30791,317
128,3941793,5.86315,58
