COUNT,ID_REF,VALUE,
1,3881686,8.77699,439
2,2672712,8.43832,347
3,2842570,8.60814,390
4,3526544,6.68547,103
5,2902531,4.42456,21
6,2402942,7.71447,210
7,3382216,11.0408,2107
8,3771800,9.5626,756
9,2427469,5.59556,48
10,2392945,7.31937,160
11,2453006,4.68351,26
12,3552083,5.76727,54
13,3416651,11.7995,3565
14,2562821,10.2312,1202
15,3721851,6.05915,67
16,3442176,8.52838,369
17,2477438,5.08382,34
18,2926969,10.6712,1631
19,3026969,6.55103,94
20,3796335,8.00008,256
21,2622772,5.50529,45
22,3636470,9.28385,623
23,2952497,7.80443,224
24,2367537,7.54359,187
25,3332276,4.05896,17
26,2427500,5.43102,43
27,2647315,4.13361,18
28,3136888,6.49608,90
29,3502149,4.03001,16
30,2902559,11.2144,2376
31,3831774,7.31942,160
32,3442205,7.9571,248
33,3026988,10.0072,1029
34,2453036,5.30622,40
35,3466634,3.5784,12
36,3991650,7.44328,174
37,3966225,8.48081,357
38,2403080,4.1022,17
39,2867145,8.483,358
40,3576545,6.89214,119
41,2842624,4.96793,31
42,2902574,8.72407,423
43,2392985,5.76074,54
44,3332298,3.49041,11
45,3806366,5.27034,39
46,3222404,3.56369,12
47,2452948,3.79922,14
48,3721886,7.14247,141
49,3661940,12.89,7591
50,3662041,8.03277,262
51,3416702,3.55259,12
52,2817212,5.55064,47
53,3077072,4.16235,18
54,3636522,10.1196,1113
55,2403099,4.46646,22
56,2672774,5.4958,45
57,2697308,3.78716,14
58,2403111,8.453,350
59,2562867,10.3504,1306
60,3332325,3.72762,13
61,3916290,3.86616,15
62,2902593,5.11408,35
63,2427538,4.41661,21
64,2453065,4.70724,26
65,2902609,5.04154,33
66,3332334,4.39578,21
67,4016308,9.57542,763
68,2512930,7.6755,204
69,2782694,4.42833,22
70,3612113,3.45356,11
71,3831831,5.14334,35
72,3442249,10.3033,1264
73,2452977,4.74871,27
74,2343170,8.94008,491
75,3721926,9.11953,556
76,2757278,5.14587,35
77,2697331,5.21638,37
78,4016319,3.64547,13
79,3881786,4.99856,32
80,2367599,4.19636,18
81,3382296,6.59468,97
82,3416733,3.61088,12
83,3991698,9.15079,568
84,3162486,3.71397,13
85,3466687,4.18937,18
86,2427566,8.41009,340
87,3416740,3.593,12
88,2902633,5.65766,50
89,3722039,5.92907,61
90,2622859,5.94641,62
91,2817251,4.24535,19
92,3112543,7.51,182
93,2672821,7.34416,162
94,3382319,6.13541,70
95,2977122,5.27919,39
96,3796428,5.69939,52
97,3662086,5.88435,59
98,3636562,3.96406,16
99,3002640,7.98798,254
100,3526655,4.37918,21
101,3077128,5.8234,57
102,3662093,10.5544,1504
103,2403158,7.60327,194
104,3246888,5.12052,35
105,3662106,6.59294,97
106,3721956,10.4382,1387
107,3442282,11.4789,2854
108,2707359,6.66431,101
109,3881824,7.33007,161
110,2757319,7.98902,254
111,2892652,7.45026,175
112,3722060,8.12855,280
113,2562932,5.81316,56
114,2842707,6.34273,81
115,3746489,3.92425,15
116,3576633,3.66726,13
117,2317686,8.55859,377
118,2697372,5.30973,40
119,3162529,5.86628,58
120,3332388,3.95528,16
121,3416773,3.84891,14
122,3612166,7.62743,198
123,3502259,7.68496,206
124,2343231,4.6056,24
125,3027204,5.91074,60
126,3332403,5.7161,53
127,3806459,5.14243,35
128,3941793,8.23939,302
129,2672857,8.80538,447
130,3466740,8.55898,377
131,2817291,8.68854,413
132,2427619,5.8297,57
133,3186966,8.95806,497
134,2622912,6.51833,92
135,3112584,3.68497,13
136,3137120,5.10053,34
137,3722084,4.39672,21
138,2757347,7.93821,245
139,3442322,5.05052,33
140,3272455,5.11409,35
141,3662139,5.67928,51
142,3721989,8.5665,379
143,3077168,6.76704,109
144,2562965,3.63085,12
145,3332424,3.28996,10
146,3772056,3.69808,13
147,3662150,5.73983,53
148,3831917,8.16634,287
149,2403215,5.64017,50
150,2902707,10.9565,1987
151,2647458,10.2,1176
152,4016396,6.05287,66
153,2732844,5.24856,38
154,3881874,6.56309,95
155,3662158,3.61589,12
156,3442345,4.16857,18
157,2477598,6.07439,67
158,3686587,6.2476,76
159,2587520,8.35772,328
160,2867284,4.73336,27
161,3222534,7.088,136
162,3662170,3.58669,12
163,3416830,3.17962,9
164,3722129,4.25326,19
165,2902725,8.86397,466
166,3332449,3.89771,15
167,3941848,6.06179,67
168,3416834,4.07626,17
169,3382410,6.41068,85
170,2782822,3.58416,12
171,3576704,3.83761,14
172,2927255,5.40659,42
173,2952679,9.01876,519
174,3077214,7.74944,215
175,4016428,6.20064,74
176,3831945,5.1433,35
177,3991814,6.01526,65
178,2892734,3.50042,11
179,3772090,6.92181,121
180,3806525,8.52952,370
181,2902736,9.66696,813
182,2343289,9.94747,987
183,2892738,8.56244,378
184,3882012,3.97065,16
185,3332465,3.70555,13
186,3662190,3.93731,15
187,3746574,12.1837,4652
188,3662201,9.32381,641
189,2622970,9.67818,819
190,3416852,3.45862,11
191,3722152,9.04787,529
192,3416856,3.65181,13
193,2403261,10.6864,1648
194,3686635,3.76256,14
195,2427688,6.45011,87
196,3526772,4.68685,26
197,2367743,8.91559,483
198,2757427,7.0392,132
199,3466826,10.3643,1318
200,3077244,5.05908,33
201,3831975,5.87978,59
202,3442396,8.68799,412
203,2817386,8.94134,492
204,2343334,4.60116,24
205,2427720,9.37514,664
206,3942007,4.11051,17
207,3941907,7.40703,170
208,3722182,4.35722,20
209,3576749,7.99539,255
210,3332511,4.8322,28
211,3662236,4.93902,31
212,2403301,5.14202,35
213,2697490,7.37667,166
214,2672966,9.79853,891
215,2977265,11.0151,2070
216,3296981,9.4892,719
217,3746625,3.68775,13
218,3306984,7.66462,203
219,3442427,7.90443,240
220,4016485,4.22434,19
221,3416895,5.00317,32
222,3942021,6.68374,103
223,3722195,4.44654,22
224,2892800,4.11317,17
225,3077273,8.58205,383
226,3662247,4.47538,22
227,4041923,6.60216,97
228,3272566,6.64503,100
229,3416909,7.18251,145
230,3772158,4.76113,27
231,2902804,4.74894,27
232,3552344,4.61173,24
233,3112713,5.81224,56
234,3332530,4.57351,24
235,3882069,9.04928,530
236,2732942,8.8678,467
237,2673085,4.13765,18
238,3416921,5.36845,41
239,2623139,7.5112,182
240,3856554,4.8578,29
241,3526831,7.05672,133
242,2367793,8.15727,285
243,2587618,8.56405,378
244,3662265,9.08438,543
245,2842860,8.26045,307
246,3991889,11.6124,3131
247,3502411,5.02807,33
248,3307120,7.12188,139
249,2403335,7.75027,215
250,3332548,6.13592,70
251,2867392,5.3856,42
252,2623154,6.25818,77
253,3916527,10.3626,1317
254,3796620,8.47963,357
255,2952781,6.04813,66
256,3247172,3.6791,13
257,3772187,3.64386,13
258,3416943,7.06103,134
259,3941958,6.74322,107
260,2477731,4.13334,18
261,3077321,4.61293,24
262,3576812,7.88247,236
263,2453307,8.82766,454
264,3942062,7.32394,160
265,3382523,4.21599,19
266,3722248,4.07754,17
267,3442475,5.86856,58
268,2902844,5.00249,32
269,3746675,4.26714,19
270,3686728,8.35823,328
271,3502437,5.01044,32
272,2817464,5.47557,44
273,2673136,5.31566,40
274,3332576,5.1127,35
275,2623180,7.80733,224
276,2697564,9.2621,614
277,3856594,6.27219,77
278,2427791,4.56756,24
279,2867432,3.93639,15
280,2367843,5.85125,58
281,2343418,4.20182,18
282,2842911,4.70712,26
283,3992041,5.2527,38
284,3806654,3.60661,12
285,2867443,10.9743,2012
286,3686750,5.00875,32
287,3417075,6.93725,123
288,3416977,6.98144,126
289,2757540,7.37776,166
290,3442514,5.00449,32
291,3002873,9.46311,706
292,4016572,8.98854,508
293,2952834,4.87891,29
294,3662333,5.11303,35
295,3916576,9.32227,640
296,3722286,4.26713,19
297,3332615,9.26636,616
298,2902884,6.54937,94
299,3502475,4.25987,19
300,2647647,8.10119,275
301,3416996,7.59363,193
302,3942124,4.602,24
303,3332626,7.35878,164
304,3746734,3.7735,14
305,2453365,6.48859,90
306,2673181,9.0577,533
307,3856646,6.38465,84
308,2842951,8.06162,267
309,3806689,9.7921,887
310,2453370,8.65362,403
311,2367892,6.19654,73
312,3502497,6.18667,73
313,2783099,5.42004,43
314,3991992,6.03725,66
315,3806711,7.27447,155
316,2343473,9.77967,879
317,3272686,6.15543,71
318,2623249,6.94213,123
319,3772279,5.65673,50
320,3576889,7.48721,179
321,3882190,4.84253,29
322,2587730,5.57024,48
323,3272706,4.6437,25
324,3722338,5.40884,42
325,2903034,4.73525,27
326,2902935,5.32795,40
327,2403446,5.98241,63
328,3942161,6.75528,108
329,3417146,4.40448,21
330,3332663,4.29499,20
331,3662387,9.05228,531
332,3882214,3.88583,15
333,4016639,6.21774,74
334,3832256,6.61364,98
335,2697652,5.63426,50
336,2952893,4.91368,30
337,2587747,6.06731,67
338,3442579,4.99683,32
339,3722355,7.79869,223
340,2343511,7.03313,131
341,2843091,9.86908,935
342,2757621,6.63021,99
343,3417161,10.3358,1292
344,3636879,4.53616,23
345,3942179,7.53521,185
346,2733202,3.50377,11
347,2902958,6.92925,122
348,2403470,6.85174,115
349,2318086,9.84755,921
350,2817576,7.06787,134
351,3662417,4.28463,19
352,3272736,5.54977,47
353,3576937,6.01596,65
354,2427898,5.17355,36
355,3832280,3.73191,13
356,3992148,6.00015,64
357,3882241,4.66948,25
358,2952927,4.54404,23
359,3027503,6.38451,84
360,3746809,3.46048,11
361,3856720,5.21175,37
362,2927506,4.66342,25
363,2623308,4.61958,25
364,2673257,4.7754,27
365,3637006,6.4955,90
366,2903075,6.90654,120
367,3417184,6.42027,86
368,2367963,8.12277,279
369,3832292,5.69868,52
370,3722384,7.67806,205
371,3502570,9.93911,982
372,2843131,5.47408,44
373,2892979,6.53876,93
374,3357237,9.72325,845
375,2647742,9.0947,547
376,3417201,6.24247,76
377,3832308,4.60714,24
378,2427930,6.46688,88
379,2673270,9.47727,713
380,3272761,4.51282,23
381,3662444,4.84834,29
382,2977471,5.44682,44
383,2587790,9.92342,971
384,3916686,3.4953,11
385,3882265,4.01015,16
386,3332729,4.57653,24
387,3003107,6.14676,71
388,3442641,4.07557,17
389,2893109,3.92766,15
390,2952959,6.71012,105
391,3722417,9.62265,788
392,2697721,3.45724,11
393,3027538,8.07263,269
394,3746845,5.56539,47
395,3577078,10.6089,1562
396,2783207,4.62935,25
397,3077502,6.85558,116
398,2843163,6.0358,66
399,2478017,9.31985,639
400,2977510,6.82349,113
401,3382698,5.55107,47
402,2673312,5.01569,32
403,2393538,5.70277,52
404,4016726,4.56598,24
405,2893130,8.30834,317
406,2318157,4.56363,24
407,3272795,5.75709,54
408,3882304,3.39431,11
409,3357279,8.87984,471
410,3636956,5.32821,40
411,3942259,3.6315,12
412,2477933,4.98654,32
413,2587841,10.3081,1268
414,3502632,6.38005,83
415,2623367,4.58169,24
416,2647792,11.3614,2631
417,3417249,9.2294,600
418,2318170,5.74796,54
419,3003143,4.35159,20
420,2428079,5.04724,33
421,3357303,6.74829,108
422,2427981,6.3168,80
423,2538000,7.02394,130
424,2403557,6.48795,90
425,3746881,9.56397,757
426,2757720,6.11296,69
427,2513471,10.549,1498
428,3003153,10.5719,1522
429,2733287,5.81167,56
430,2707764,10.8623,1862
431,4042278,3.63156,12
432,2843209,7.93415,245
433,3272834,6.63695,100
434,2673345,5.44545,44
435,3636985,4.36085,21
436,2623388,7.88175,236
437,3442706,4.18239,18
438,3832383,6.78335,110
439,2927604,9.92556,973
440,3882343,3.64428,13
441,3772437,3.84706,14
442,2428119,7.48362,179
443,2403585,5.90342,60
444,2318212,3.93805,15
445,2623413,6.24483,76
446,2953139,5.5763,48
447,2817708,4.03906,16
448,2697792,8.76863,436
449,2757751,6.48136,89
450,3577160,9.31739,638
451,2477980,5.16091,36
452,3137530,7.84942,231
453,3662545,8.96715,500
454,3357346,4.80284,28
455,2903189,8.34896,326
456,3077573,5.33021,40
457,2623426,9.21589,595
458,3417309,11.0802,2165
459,3003193,7.79113,221
460,2368180,10.9321,1954
461,3882369,4.04183,16
462,4016806,3.43538,11
463,2563481,7.32502,160
464,2817731,10.2341,1204
465,2318242,5.28885,39
466,2623441,6.06763,67
467,2707824,7.55042,187
468,3332838,6.30828,79
469,3806905,8.03012,261
470,3502710,9.90731,960
471,3442752,3.72786,13
472,3832435,7.23167,150
473,2368198,6.90665,120
474,3992304,3.75223,13
475,3806913,8.01935,259
476,2783316,5.69113,52
477,3882387,3.74528,13
478,3113133,4.03981,16
479,3797015,7.01878,130
480,2733360,3.47551,11
481,2867693,8.69528,415
482,3942350,6.36167,82
483,3003228,9.54927,749
484,3722535,5.21215,37
485,2318257,5.05252,33
486,2697839,4.52895,23
487,2513554,9.09475,547
488,2587937,4.40238,21
489,2977621,6.58107,96
490,3417345,3.55866,12
491,2757796,5.67409,51
492,3882413,3.87938,15
493,2843283,6.78841,111
494,3797032,9.40164,676
495,3442774,3.32099,10
496,3832457,5.64887,50
497,2393654,6.37439,83
498,3552684,4.02464,16
499,3382830,3.96403,16
500,3722554,7.00451,128
501,2647898,7.43286,173
502,3467315,4.55638,24
503,3417356,5.03964,33
504,3357397,5.02104,32
505,3442785,3.82547,14
506,2697863,6.75259,108
507,3662612,7.09404,137
508,2733392,3.72923,13
509,2903258,4.1137,17
510,2563536,3.71565,13
511,2587961,12.7081,6691
512,3856908,4.25426,19
513,3772525,9.18263,581
514,3942384,3.97809,16
515,3332886,8.36944,331
516,3417371,5.97903,63
517,2588066,11.8097,3590
518,2707876,4.34772,20
519,3163136,10.8069,1791
520,4042392,6.969,125
521,3442812,4.57246,24
522,3053229,9.66107,810
523,3113180,11.3477,2606
524,3577246,8.90619,480
525,3992354,9.96988,1003
526,2817793,6.10042,69
527,3382861,8.68609,412
528,3942411,4.21184,19
529,2623515,7.07021,134
530,3332913,4.84881,29
531,3552729,8.05647,266
532,2648041,3.95383,15
533,3577256,5.14701,35
534,2697902,5.2637,38
535,3113202,6.35972,82
536,3467351,9.86373,932
537,2903285,6.35346,82
538,3187577,5.35676,41
539,2403707,6.07099,67
540,2927722,7.95371,248
541,2393711,7.72023,211
542,2707909,7.64221,200
543,3662650,8.71749,421
544,2318338,5.25773,38
545,3796992,4.20899,18
546,2953262,4.03275,16
547,3577277,7.26969,154
548,3332938,7.38085,167
549,2977690,8.21929,298
550,3272981,6.24244,76
551,3527332,3.66626,13
552,2673503,5.37287,41
553,2817837,8.28322,312
554,3442854,8.78266,440
555,2867788,3.84602,14
556,2648074,3.64497,13
557,3527340,3.40326,11
558,2673509,7.82419,227
559,3772581,7.31572,159
560,2588127,9.36544,660
