COUNT,ID_REF,VALUE,
1,3881686,9.45204,700
2,2672712,8.21096,296
3,2842570,8.64229,400
4,3526544,6.82117,113
5,2902531,4.26469,19
6,2402942,6.9942,127
7,3382216,11.3411,2594
8,3771800,9.72928,849
9,2427469,5.21687,37
10,2392945,7.0095,129
11,2453006,4.65461,25
12,3552083,5.45337,44
13,3416651,9.1323,561
14,2562821,9.66484,812
15,3721851,6.03543,66
16,3442176,8.87396,469
17,2477438,5.43508,43
18,2926969,9.31172,635
19,3026969,5.64643,50
20,3796335,8.46186,353
21,2622772,4.78979,28
22,3636470,9.94301,984
23,2952497,7.27942,155
24,2367537,6.91335,121
25,3332276,4.0057,16
26,2427500,5.19753,37
27,2647315,3.87657,15
28,3136888,9.10833,552
29,3502149,3.58342,12
30,2902559,10.9227,1941
31,3831774,7.28928,156
32,3442205,8.24622,304
33,3026988,9.87155,937
34,2453036,4.64393,25
35,3466634,3.88842,15
36,3991650,8.07908,270
37,3966225,8.9158,483
38,2403080,4.05887,17
39,2867145,8.7418,428
40,3576545,7.14012,141
41,2842624,4.87386,29
42,2902574,7.66287,203
43,2392985,5.02126,32
44,3332298,3.47948,11
45,3806366,4.38028,21
46,3222404,3.67774,13
47,2452948,3.67277,13
48,3721886,7.24079,151
49,3661940,12.8838,7558
50,3662041,7.98579,253
51,3416702,3.71084,13
52,2817212,4.8735,29
53,3077072,4.01193,16
54,3636522,10.9741,2012
55,2403099,4.30732,20
56,2672774,6.01488,65
57,2697308,3.78653,14
58,2403111,7.40892,170
59,2562867,9.61406,784
60,3332325,3.56992,12
61,3916290,3.99886,16
62,2902593,4.55558,24
63,2427538,4.23951,19
64,2453065,4.2277,19
65,2902609,3.95611,16
66,3332334,4.16692,18
67,4016308,10.9706,2007
68,2512930,6.86678,117
69,2782694,4.79453,28
70,3612113,3.45155,11
71,3831831,5.9647,62
72,3442249,10.1462,1133
73,2452977,4.15593,18
74,2343170,8.41869,342
75,3721926,8.69025,413
76,2757278,4.42259,21
77,2697331,4.6487,25
78,4016319,3.72623,13
79,3881786,5.32391,40
80,2367599,3.63932,12
81,3382296,6.05598,67
82,3416733,3.6665,13
83,3991698,10.6212,1575
84,3162486,4.97861,32
85,3466687,3.884,15
86,2427566,8.44401,348
87,3416740,3.70869,13
88,2902633,5.05904,33
89,3722039,5.67017,51
90,2622859,5.36222,41
91,2817251,4.21148,19
92,3112543,7.76974,218
93,2672821,7.54009,186
94,3382319,6.11575,69
95,2977122,4.70378,26
96,3796428,5.61318,49
97,3662086,6.59624,97
98,3636562,4.20189,18
99,3002640,6.9759,126
100,3526655,4.45862,22
101,3077128,4.48139,22
102,3662093,10.7259,1694
103,2403158,7.87086,234
104,3246888,5.77365,55
105,3662106,6.02019,65
106,3721956,10.9093,1923
107,3442282,11.9572,3976
108,2707359,6.83016,114
109,3881824,8.75292,431
110,2757319,8.83575,457
111,2892652,6.97963,126
112,3722060,8.70456,417
113,2562932,5.54409,47
114,2842707,7.52311,184
115,3746489,3.86286,15
116,3576633,3.66254,13
117,2317686,9.32123,640
118,2697372,5.40611,42
119,3162529,6.05369,66
120,3332388,4.06868,17
121,3416773,3.93527,15
122,3612166,8.46373,353
123,3502259,8.56962,380
124,2343231,4.31428,20
125,3027204,5.2882,39
126,3332403,5.40762,42
127,3806459,8.50846,364
128,3941793,6.93794,123
129,2672857,8.21796,298
130,3466740,8.85093,462
131,2817291,8.06607,268
132,2427619,7.90891,240
133,3186966,8.85657,464
134,2622912,6.09055,68
135,3112584,3.58496,12
136,3137120,5.85784,58
137,3722084,4.27825,19
138,2757347,7.72042,211
139,3442322,4.71667,26
140,3272455,5.68745,52
141,3662139,5.62543,49
142,3721989,9.64843,803
143,3077168,4.89322,30
144,2562965,3.6486,13
145,3332424,3.50002,11
146,3772056,3.37521,10
147,3662150,7.21,148
148,3831917,8.56802,380
149,2403215,6.22753,75
150,2902707,10.2978,1259
151,2647458,8.31695,319
152,4016396,6.90639,120
153,2732844,4.43374,22
154,3881874,7.03177,131
155,3662158,4.24553,19
156,3442345,4.48044,22
157,2477598,5.63556,50
158,3686587,6.4028,85
159,2587520,7.82474,227
160,2867284,4.70982,26
161,3222534,7.35302,163
