COUNT,ID_REF,VALUE,
1,3881686,8.40788,340
2,2672712,9.58601,769
3,2842570,8.53564,371
4,3526544,7.2386,151
5,2902531,5.02725,33
6,2402942,7.50505,182
7,3382216,10.8152,1802
8,3771800,8.11366,277
9,2427469,6.1548,71
10,2392945,7.4434,174
11,2453006,5.05118,33
12,3552083,4.86023,29
13,3416651,8.07247,269
14,2562821,8.53674,371
15,3721851,5.46574,44
16,3442176,8.30532,316
17,2477438,7.1701,144
18,2926969,8.54001,372
19,3026969,6.66716,102
20,3796335,8.04039,263
21,2622772,5.29446,39
22,3636470,9.60348,778
23,2952497,6.23228,75
24,2367537,7.25802,153
25,3332276,4.90111,30
26,2427500,6.34307,81
27,2647315,4.99417,32
28,3136888,7.66117,202
29,3502149,4.26802,19
30,2902559,11.7576,3463
31,3831774,5.93898,61
32,3442205,7.32075,160
33,3026988,9.00938,515
34,2453036,5.45556,44
35,3466634,4.7464,27
36,3991650,6.98181,126
37,3966225,7.35143,163
38,2403080,5.62944,50
39,2867145,8.95816,497
40,3576545,6.9054,120
41,2842624,5.19419,37
42,2902574,6.93074,122
43,2392985,5.71174,52
44,3332298,3.50949,11
45,3806366,4.82982,28
46,3222404,4.18242,18
47,2452948,4.19196,18
48,3721886,6.88386,118
49,3661940,12.1306,4484
50,3662041,6.64222,100
51,3416702,4.3138,20
52,2817212,5.39266,42
53,3077072,4.35599,20
54,3636522,9.13668,563
55,2403099,4.76484,27
56,2672774,6.55887,94
57,2697308,4.30818,20
58,2403111,7.73894,214
59,2562867,9.36923,661
60,3332325,4.79286,28
61,3916290,4.93676,31
62,2902593,4.88643,30
63,2427538,5.00947,32
64,2453065,4.86597,29
65,2902609,4.38079,21
66,3332334,4.2462,19
67,4016308,9.14822,567
68,2512930,6.27929,78
69,2782694,5.33923,40
70,3612113,3.70742,13
71,3831831,6.91475,121
72,3442249,9.02305,520
73,2452977,4.51052,23
74,2343170,7.93606,245
75,3721926,9.12029,557
76,2757278,4.16669,18
77,2697331,5.84723,58
78,4016319,4.28396,19
79,3881786,5.51242,46
80,2367599,4.97607,31
81,3382296,6.34663,81
82,3416733,3.80994,14
83,3991698,7.59147,193
84,3162486,4.57486,24
85,3466687,4.86621,29
86,2427566,6.68722,103
87,3416740,4.23943,19
88,2902633,5.43552,43
89,3722039,6.31414,80
90,2622859,5.7414,53
91,2817251,4.92334,30
92,3112543,6.68328,103
93,2672821,8.93379,489
94,3382319,6.09843,69
95,2977122,6.1653,72
96,3796428,4.99913,32
97,3662086,7.20554,148
98,3636562,4.44221,22
99,3002640,7.25544,153
100,3526655,4.60784,24
101,3077128,4.62456,25
102,3662093,11.8344,3652
103,2403158,8.26431,307
104,3246888,5.18055,36
105,3662106,7.49115,180
106,3721956,9.65353,805
107,3442282,11.0953,2188
108,2707359,6.83321,114
109,3881824,7.95894,249
110,2757319,8.73097,425
111,2892652,6.75753,108
112,3722060,7.74457,214
113,2562932,5.69588,52
114,2842707,8.0994,274
115,3746489,4.67125,25
116,3576633,4.84667,29
117,2317686,7.18098,145
118,2697372,5.35057,41
119,3162529,5.55927,47
120,3332388,4.80042,28
121,3416773,4.70459,26
122,3612166,9.17254,577
123,3502259,8.37076,331
124,2343231,5.70557,52
125,3027204,5.75809,54
126,3332403,5.75077,54
127,3806459,7.46116,176
128,3941793,6.51411,91
129,2672857,8.69152,413
130,3466740,7.55967,189
131,2817291,8.10525,275
132,2427619,5.86273,58
133,3186966,7.33678,162
134,2622912,7.09656,137
135,3112584,4.554,23
136,3137120,5.98665,63
137,3722084,4.92135,30
138,2757347,8.34687,326
139,3442322,5.07811,34
140,3272455,6.43,86
141,3662139,6.22952,75
142,3721989,8.3668,330
143,3077168,5.5012,45
144,2562965,5.15989,36
145,3332424,4.29088,20
146,3772056,4.04984,17
147,3662150,8.30263,316
148,3831917,7.13398,140
149,2403215,7.08691,136
150,2902707,11.5705,3041
151,2647458,7.94168,246
152,4016396,5.56644,47
153,2732844,5.49356,45
154,3881874,6.89835,119
155,3662158,4.15849,18
156,3442345,4.54083,23
157,2477598,5.70081,52
158,3686587,6.3643,82
159,2587520,7.90686,240
160,2867284,5.61024,49
161,3222534,7.31581,159
162,3662170,4.3928,21
163,3416830,4.08091,17
164,3722129,4.54803,23
165,2902725,9.18103,580
166,3332449,5.08047,34
167,3941848,8.36204,329
168,3416834,5.20187,37
169,3382410,5.75928,54
170,2782822,5.32631,40
171,3576704,5.60118,49
172,2927255,5.31625,40
173,2952679,8.67422,409
174,3077214,4.17205,18
175,4016428,6.38809,84
176,3831945,5.08685,34
177,3991814,5.58343,48
178,2892734,4.66424,25
179,3772090,5.44071,43
180,3806525,7.90084,239
181,2902736,10.6999,1663
182,2343289,8.04204,264
183,2892738,7.55581,188
184,3882012,4.91141,30
185,3332465,3.69907,13
186,3662190,4.06859,17
187,3746574,10.9409,1966
188,3662201,10.4476,1397
189,2622970,9.12246,557
190,3416852,4.63942,25
191,3722152,9.26881,617
192,3416856,4.30093,20
193,2403261,10.5941,1546
194,3686635,3.32527,10
195,2427688,6.24006,76
196,3526772,4.79657,28
197,2367743,10.4374,1387
198,2757427,7.3736,166
199,3466826,7.98374,253
200,3077244,4.90351,30
201,3831975,5.36256,41
202,3442396,10.0351,1049
203,2817386,8.08321,271
204,2343334,5.44172,43
205,2427720,7.89657,238
206,3942007,5.4917,45
207,3941907,7.56988,190
208,3722182,4.51479,23
209,3576749,5.51775,46
210,3332511,5.0479,33
211,3662236,7.30499,158
212,2403301,6.11643,69
213,2697490,7.1678,144
214,2672966,9.85283,925
215,2977265,10.4684,1417
216,3296981,7.95365,248
217,3746625,4.26599,19
218,3306984,8.65693,404
219,3442427,8.60705,390
220,4016485,4.58164,24
221,3416895,5.5892,48
222,3942021,5.76022,54
223,3722195,3.80965,14
224,2892800,5.2208,37
225,3077273,9.08413,543
226,3662247,4.02059,16
227,4041923,6.08401,68
228,3272566,6.39541,84
229,3416909,7.72516,212
230,3772158,4.56045,24
231,2902804,4.60946,24
232,3552344,4.52233,23
233,3112713,5.94526,62
234,3332530,3.99588,16
235,3882069,9.23889,604
236,2732942,8.97436,503
237,2673085,4.92226,30
238,3416921,5.68975,52
239,2623139,7.25712,153
240,3856554,5.75602,54
241,3526831,6.41961,86
242,2367793,7.42929,172
243,2587618,9.51168,730
244,3662265,7.66338,203
245,2842860,8.6935,414
246,3991889,11.7364,3412
247,3502411,4.84598,29
248,3307120,5.9019,60
249,2403335,7.47882,178
250,3332548,6.4752,89
251,2867392,5.60128,49
252,2623154,6.85921,116
253,3916527,11.0723,2153
254,3796620,9.03695,525
255,2952781,5.67542,51
256,3247172,4.80682,28
257,3772187,3.39742,11
258,3416943,6.65368,101
259,3941958,7.57435,191
260,2477731,5.31454,40
261,3077321,5.73446,53
262,3576812,6.26311,77
263,2453307,8.84294,459
264,3942062,7.12394,139
265,3382523,4.30974,20
266,3722248,5.33633,40
267,3442475,5.6426,50
268,2902844,5.65566,50
269,3746675,4.10101,17
270,3686728,8.60104,388
271,3502437,6.13216,70
272,2817464,5.00751,32
273,2673136,5.86929,58
274,3332576,4.98396,32
275,2623180,7.40293,169
276,2697564,7.87153,234
277,3856594,6.92827,122
278,2427791,4.9351,31
279,2867432,5.27486,39
280,2367843,6.048,66
281,2343418,5.00623,32
282,2842911,5.69368,52
283,3992041,5.51909,46
284,3806654,4.25921,19
285,2867443,7.36984,165
286,3686750,4.77777,27
287,3417075,6.71483,105
288,3416977,6.08242,68
289,2757540,6.46925,89
290,3442514,4.4297,22
291,3002873,9.69532,829
292,4016572,9.35747,656
293,2952834,5.6901,52
294,3662333,5.36796,41
295,3916576,8.25597,306
296,3722286,4.78221,28
297,3332615,9.00187,513
298,2902884,6.97256,126
299,3502475,4.97695,31
300,2647647,7.41731,171
301,3416996,7.11733,139
302,3942124,4.19958,18
303,3332626,8.70203,416
304,3746734,3.54466,12
305,2453365,7.76132,217
306,2673181,8.17433,289
307,3856646,6.3236,80
308,2842951,7.51697,183
309,3806689,9.63927,797
310,2453370,8.16541,287
311,2367892,5.77341,55
312,3502497,5.58183,48
313,2783099,6.51858,92
314,3991992,5.6131,49
315,3806711,7.34036,162
316,2343473,8.5273,369
317,3272686,6.61915,98
318,2623249,7.95108,247
319,3772279,5.59255,48
320,3576889,6.5932,97
321,3882190,5.12689,35
322,2587730,5.42263,43
323,3272706,5.64714,50
324,3722338,5.82629,57
325,2903034,4.61954,25
326,2902935,6.36739,83
327,2403446,4.74311,27
328,3942161,7.23077,150
329,3417146,5.27201,39
330,3332663,4.66742,25
331,3662387,9.59338,772
332,3882214,3.72842,13
333,4016639,5.23331,38
334,3832256,7.45844,176
335,2697652,6.04948,66
336,2952893,5.2885,39
337,2587747,7.31682,159
338,3442579,5.34812,41
339,3722355,8.57006,380
340,2343511,6.06221,67
341,2843091,6.70507,104
342,2757621,6.26667,77
343,3417161,10.1056,1102
344,3636879,6.53548,93
345,3942179,7.9543,248
346,2733202,4.0241,16
347,2902958,6.60327,97
348,2403470,7.2158,149
349,2318086,8.12259,279
350,2817576,5.41916,43
351,3662417,5.14068,35
352,3272736,4.78937,28
353,3576937,8.7174,421
354,2427898,5.43294,43
355,3832280,4.5931,24
356,3992148,6.03018,65
357,3882241,5.05285,33
358,2952927,4.85987,29
359,3027503,7.1129,138
360,3746809,4.39836,21
361,3856720,4.32195,20
362,2927506,5.36269,41
363,2623308,6.84393,115
364,2673257,5.038,33
365,3637006,6.53568,93
366,2903075,7.70016,208
367,3417184,7.89454,238
368,2367963,7.29415,157
369,3832292,5.803,56
370,3722384,5.92738,61
371,3502570,9.6587,808
