COUNT,ID_REF,VALUE,
1,3881686,9.19286,585
2,2672712,9.44067,695
3,2842570,8.46795,354
4,3526544,6.5257,92
5,2902531,5.42268,43
6,2402942,7.15225,142
7,3382216,11.3735,2653
8,3771800,8.65132,402
9,2427469,5.35828,41
10,2392945,7.51624,183
11,2453006,5.40687,42
12,3552083,5.16601,36
13,3416651,7.30937,159
14,2562821,8.70811,418
15,3721851,5.57402,48
16,3442176,8.79662,445
17,2477438,6.5076,91
18,2926969,8.10921,276
19,3026969,5.93617,61
20,3796335,8.09399,273
21,2622772,5.87856,59
22,3636470,8.90755,480
23,2952497,6.80456,112
24,2367537,6.74645,107
25,3332276,5.23711,38
26,2427500,5.38992,42
27,2647315,5.33599,40
28,3136888,8.31038,317
29,3502149,4.28223,19
30,2902559,11.6048,3115
31,3831774,6.043,66
32,3442205,8.02251,260
33,3026988,8.67108,408
34,2453036,5.57224,48
35,3466634,5.46464,44
36,3991650,6.6312,99
37,3966225,8.55792,377
38,2403080,5.41672,43
39,2867145,8.43474,346
40,3576545,7.06687,134
41,2842624,5.44651,44
42,2902574,6.89327,119
43,2392985,6.0611,67
44,3332298,3.38852,10
45,3806366,4.8792,29
46,3222404,4.9126,30
47,2452948,4.42851,22
48,3721886,7.00696,129
49,3661940,12.4829,5724
50,3662041,6.92813,122
51,3416702,4.47311,22
52,2817212,5.33916,40
53,3077072,4.53878,23
54,3636522,10.2009,1177
55,2403099,5.28876,39
56,2672774,6.23424,75
57,2697308,5.01247,32
58,2403111,7.38257,167
59,2562867,8.97621,504
60,3332325,5.34261,41
61,3916290,5.29327,39
62,2902593,5.0678,34
63,2427538,4.94634,31
64,2453065,5.07001,34
65,2902609,3.79459,14
66,3332334,4.89231,30
67,4016308,8.12805,280
68,2512930,5.74343,54
69,2782694,4.85377,29
70,3612113,4.44659,22
71,3831831,6.23251,75
72,3442249,10.5852,1536
73,2452977,4.81272,28
74,2343170,7.27123,154
75,3721926,9.59482,773
76,2757278,4.85111,29
77,2697331,5.6447,50
78,4016319,4.16472,18
79,3881786,5.49345,45
80,2367599,4.28501,19
81,3382296,6.72499,106
82,3416733,4.78082,27
83,3991698,8.97038,502
84,3162486,4.76257,27
85,3466687,4.9934,32
86,2427566,6.98244,126
87,3416740,4.46564,22
88,2902633,5.99567,64
89,3722039,6.75255,108
90,2622859,6.21183,74
91,2817251,4.68534,26
92,3112543,7.02642,130
93,2672821,9.35797,656
94,3382319,6.37367,83
95,2977122,5.20256,37
96,3796428,5.18216,36
97,3662086,6.97121,125
98,3636562,4.25145,19
99,3002640,6.91834,121
100,3526655,4.75608,27
101,3077128,4.27412,19
102,3662093,11.0069,2058
103,2403158,8.13811,282
104,3246888,5.6675,51
105,3662106,7.69269,207
106,3721956,10.4256,1375
107,3442282,11.238,2415
108,2707359,7.10326,137
109,3881824,8.99435,510
110,2757319,8.70042,416
111,2892652,6.73937,107
112,3722060,8.37255,331
113,2562932,5.7044,52
114,2842707,7.04562,132
115,3746489,4.58496,24
116,3576633,4.84541,29
117,2317686,7.6526,201
118,2697372,5.31904,40
119,3162529,4.92873,30
120,3332388,5.05405,33
121,3416773,5.18017,36
122,3612166,9.21373,594
123,3502259,8.59024,385
124,2343231,5.4269,43
125,3027204,4.5564,24
126,3332403,7.57353,190
127,3806459,7.09702,137
128,3941793,5.44644,44
129,2672857,8.34236,325
130,3466740,7.59774,194
131,2817291,7.83764,229
132,2427619,7.31836,160
133,3186966,7.0924,136
134,2622912,6.84147,115
135,3112584,4.83829,29
136,3137120,6.3032,79
137,3722084,4.83207,28
138,2757347,7.48572,179
139,3442322,5.3913,42
140,3272455,6.38266,83
141,3662139,6.3205,80
142,3721989,8.17586,289
143,3077168,5.35837,41
144,2562965,4.73942,27
145,3332424,4.11977,17
146,3772056,4.00443,16
147,3662150,7.61009,195
148,3831917,7.39052,168
149,2403215,6.27638,78
150,2902707,11.2331,2407
151,2647458,8.54896,375
152,4016396,5.91768,60
153,2732844,5.59093,48
154,3881874,6.54305,93
155,3662158,3.821,14
156,3442345,4.60709,24
157,2477598,5.82759,57
158,3686587,6.82713,114
159,2587520,7.36529,165
160,2867284,5.93879,61
161,3222534,7.4832,179
162,3662170,4.31947,20
163,3416830,4.27144,19
164,3722129,4.17187,18
165,2902725,7.99939,256
166,3332449,5.13357,35
167,3941848,8.22761,300
168,3416834,6.07337,67
169,3382410,7.10989,138
170,2782822,5.40822,42
171,3576704,5.51604,46
172,2927255,5.23432,38
173,2952679,9.47498,712
174,3077214,4.29037,20
175,4016428,7.17413,144
176,3831945,5.46683,44
177,3991814,6.35357,82
178,2892734,4.21979,19
179,3772090,4.95558,31
180,3806525,7.89371,238
181,2902736,10.1432,1131
182,2343289,7.99634,255
183,2892738,6.85334,116
184,3882012,4.41444,21
185,3332465,3.95742,16
186,3662190,4.41995,21
187,3746574,10.7603,1734
188,3662201,10.2054,1181
189,2622970,9.94162,983
190,3416852,4.82962,28
191,3722152,8.74369,429
192,3416856,4.49732,23
193,2403261,10.0188,1037
194,3686635,3.45371,11
195,2427688,6.10274,69
196,3526772,5.11072,35
197,2367743,9.0727,538
198,2757427,7.89385,238
199,3466826,7.82434,227
200,3077244,4.79395,28
201,3831975,5.49748,45
202,3442396,9.74376,857
203,2817386,7.8475,230
204,2343334,5.37471,41
205,2427720,7.72482,212
206,3942007,4.66795,25
207,3941907,5.96231,62
208,3722182,4.95984,31
209,3576749,6.93213,122
210,3332511,5.8146,56
211,3662236,8.93192,488
212,2403301,5.96216,62
213,2697490,7.28935,156
214,2672966,9.42278,686
215,2977265,10.774,1751
216,3296981,8.0795,271
217,3746625,3.99459,16
218,3306984,7.9567,248
219,3442427,9.18345,581
220,4016485,4.27601,19
221,3416895,4.88311,30
222,3942021,6.21761,74
223,3722195,4.67965,26
224,2892800,5.18014,36
225,3077273,7.843,230
226,3662247,5.18829,36
227,4041923,6.05754,67
228,3272566,7.03908,132
229,3416909,8.11915,278
230,3772158,4.66115,25
231,2902804,4.86265,29
232,3552344,4.40301,21
233,3112713,6.252,76
234,3332530,5.20779,37
235,3882069,9.36876,661
236,2732942,8.31179,318
237,2673085,4.39076,21
238,3416921,5.54289,47
239,2623139,7.213,148
240,3856554,6.11902,70
241,3526831,6.32859,80
242,2367793,7.08427,136
243,2587618,9.37538,664
244,3662265,8.58172,383
245,2842860,7.86164,233
246,3991889,11.7813,3520
247,3502411,5.43524,43
248,3307120,6.6297,99
