,ID_REF,VALUE,COUNT
214,2672966,9.46752,708
215,2977265,10.7478,1720
216,3296981,8.54618,374
217,3746625,3.79067,14
218,3306984,8.49713,361
219,3442427,9.16995,576
220,4016485,4.31336,20
221,3416895,5.36565,41
222,3942021,5.87881,59
223,3722195,5.03134,33
224,2892800,4.7258,26
225,3077273,7.93722,245
226,3662247,4.0315,16
227,4041923,6.84735,115
228,3272566,7.30732,158
229,3416909,7.36637,165
230,3772158,5.09325,34
231,2902804,4.83384,29
232,3552344,3.93722,15
233,3112713,6.51556,91
234,3332530,4.39324,21
235,3882069,9.17782,579
236,2732942,8.43416,346
237,2673085,4.33876,20
238,3416921,5.62504,49
239,2623139,7.36277,165
240,3856554,5.73449,53
241,3526831,6.62285,99
242,2367793,7.44189,174
243,2587618,9.19017,584
244,3662265,8.25778,306
245,2842860,8.41897,342
246,3991889,11.9582,3979
247,3502411,5.04879,33
248,3307120,6.5328,93
249,2403335,7.09969,137
250,3332548,6.09662,68
251,2867392,5.84164,57
252,2623154,7.12903,140
253,3916527,11.1329,2246
254,3796620,9.21031,592
255,2952781,5.8682,58
256,3247172,4.3112,20
257,3772187,3.96832,16
258,3416943,7.19314,146
259,3941958,7.38768,167
260,2477731,4.6738,26
261,3077321,5.06806,34
262,3576812,6.78965,111
263,2453307,8.45949,352
264,3942062,7.24322,152
265,3382523,4.20771,18
266,3722248,4.94217,31
267,3442475,6.06526,67
268,2902844,5.2959,39
269,3746675,4.85993,29
270,3686728,8.67794,410
271,3502437,5.4599,44
272,2817464,4.60971,24
273,2673136,4.96254,31
274,3332576,5.3337,40
275,2623180,7.22716,150
276,2697564,7.9611,249
277,3856594,6.25399,76
278,2427791,4.60678,24
279,2867432,5.09661,34
280,2367843,6.01305,65
281,2343418,4.84311,29
282,2842911,5.3804,42
283,3992041,6.60347,97
284,3806654,3.67751,13
285,2867443,6.84215,115
286,3686750,4.99808,32
287,3417075,6.83556,114
288,3416977,6.15127,71
289,2757540,7.20651,148
290,3442514,4.90216,30
291,3002873,9.26656,616
292,4016572,10.0672,1073
293,2952834,5.89078,59
294,3662333,5.2811,39
295,3916576,8.76497,435
296,3722286,4.43217,22
297,3332615,9.78996,885
298,2902884,6.69033,103
299,3502475,4.50618,23
300,2647647,7.86301,233
301,3416996,7.1167,139
302,3942124,4.25988,19
303,3332626,8.59157,386
304,3746734,3.84255,14
305,2453365,7.59277,193
306,2673181,8.26869,308
307,3856646,6.35785,82
308,2842951,7.51726,183
309,3806689,9.5191,734
310,2453370,8.33377,323
311,2367892,5.07915,34
