COUNT,ID_REF,VALUE,
1,3881686,9.00275,513
2,2672712,9.11189,553
3,2842570,8.63276,397
4,3526544,6.66632,102
5,2902531,4.78987,28
6,2402942,6.88244,118
7,3382216,11.4278,2755
8,3771800,8.73455,426
9,2427469,5.58229,48
10,2392945,6.69321,103
11,2453006,4.93249,31
12,3552083,6.03202,65
13,3416651,7.44588,174
14,2562821,9.06229,535
15,3721851,5.98044,63
16,3442176,9.58543,768
17,2477438,6.92468,121
18,2926969,8.20814,296
19,3026969,6.63829,100
20,3796335,8.00713,257
21,2622772,5.59362,48
22,3636470,9.42307,686
23,2952497,7.41962,171
24,2367537,7.06011,133
25,3332276,3.96266,16
26,2427500,6.50771,91
27,2647315,4.41983,21
28,3136888,8.45658,351
29,3502149,4.10368,17
30,2902559,11.9652,3998
31,3831774,6.47136,89
32,3442205,7.94806,247
33,3026988,9.20692,591
34,2453036,5.10673,34
35,3466634,3.87894,15
36,3991650,7.59682,194
37,3966225,8.73738,427
38,2403080,4.54124,23
39,2867145,9.06917,537
40,3576545,7.10635,138
41,2842624,5.0623,33
42,2902574,7.33004,161
43,2392985,4.88502,30
44,3332298,3.94425,15
45,3806366,4.23011,19
46,3222404,3.54001,12
47,2452948,3.67255,13
48,3721886,6.87638,117
49,3661940,12.6423,6393
50,3662041,6.60902,98
51,3416702,3.64418,13
52,2817212,4.26674,19
53,3077072,4.36898,21
54,3636522,10.5343,1483
55,2403099,4.68442,26
56,2672774,6.52188,92
57,2697308,3.97063,16
58,2403111,7.32758,161
59,2562867,9.78486,882
60,3332325,3.7315,13
61,3916290,3.68759,13
62,2902593,4.92177,30
63,2427538,4.47408,22
64,2453065,4.84172,29
65,2902609,4.34115,20
66,3332334,4.10895,17
67,4016308,10.3232,1281
68,2512930,6.36575,82
69,2782694,4.46011,22
70,3612113,3.53629,12
71,3831831,5.76219,54
72,3442249,10.071,1076
73,2452977,4.64212,25
74,2343170,8.33559,323
75,3721926,9.14426,566
76,2757278,4.53286,23
77,2697331,5.24347,38
78,4016319,3.6292,12
79,3881786,5.3699,41
80,2367599,4.03682,16
81,3382296,6.57808,96
82,3416733,3.70542,13
83,3991698,10.3771,1330
84,3162486,4.43517,22
85,3466687,3.95269,15
86,2427566,6.2948,79
87,3416740,3.94442,15
88,2902633,5.29532,39
89,3722039,7.11828,139
90,2622859,5.65408,50
91,2817251,4.38737,21
92,3112543,7.45517,175
93,2672821,9.05593,532
94,3382319,6.57103,95
95,2977122,5.10349,34
96,3796428,4.78091,27
97,3662086,6.59578,97
98,3636562,4.24591,19
99,3002640,6.87867,118
100,3526655,4.25383,19
101,3077128,4.54075,23
102,3662093,11.1996,2352
103,2403158,7.92675,243
104,3246888,5.08383,34
105,3662106,7.07246,135
106,3721956,10.5183,1467
107,3442282,11.147,2268
108,2707359,6.85574,116
109,3881824,8.8436,459
110,2757319,9.91243,964
111,2892652,6.58666,96
112,3722060,8.35664,328
113,2562932,5.98093,63
114,2842707,8.01256,258
115,3746489,4.24558,19
116,3576633,3.70676,13
117,2317686,7.85242,231
118,2697372,5.17906,36
119,3162529,5.31205,40
120,3332388,3.93585,15
121,3416773,4.08913,17
122,3612166,8.85497,463
123,3502259,8.21751,298
124,2343231,3.98679,16
125,3027204,4.94082,31
126,3332403,6.43728,87
127,3806459,6.13715,70
128,3941793,6.2321,75
129,2672857,8.72501,423
130,3466740,7.91361,241
131,2817291,7.79273,222
132,2427619,7.13393,140
133,3186966,7.10247,137
134,2622912,6.33786,81
135,3112584,3.85208,14
136,3137120,5.92704,61
137,3722084,4.75407,27
138,2757347,7.84944,231
139,3442322,4.41189,21
140,3272455,5.92571,61
141,3662139,6.31181,79
142,3721989,8.59047,385
143,3077168,5.0218,32
144,2562965,4.48161,22
145,3332424,3.67855,13
146,3772056,3.53413,12
147,3662150,7.53647,186
148,3831917,8.09289,273
149,2403215,5.92786,61
150,2902707,11.6767,3274
151,2647458,8.89255,475
152,4016396,6.21387,74
153,2732844,4.88591,30
154,3881874,6.97178,126
155,3662158,4.34574,20
156,3442345,4.45061,22
157,2477598,5.54566,47
158,3686587,6.73986,107
159,2587520,7.86538,233
160,2867284,5.10904,35
161,3222534,6.9453,123
162,3662170,3.76815,14
163,3416830,3.18713,9
164,3722129,4.19189,18
165,2902725,8.85205,462
166,3332449,4.08065,17
167,3941848,8.67244,408
168,3416834,3.73219,13
169,3382410,7.52444,184
170,2782822,4.1463,18
171,3576704,5.87776,59
172,2927255,5.34298,41
173,2952679,10.5823,1533
174,3077214,3.49214,11
175,4016428,8.00282,257
176,3831945,5.80475,56
177,3991814,6.04692,66
178,2892734,3.43794,11
179,3772090,5.14145,35
180,3806525,8.58262,383
181,2902736,10.8772,1881
182,2343289,7.67735,205
183,2892738,7.10388,138
184,3882012,4.57404,24
185,3332465,3.72364,13
186,3662190,3.91565,15
187,3746574,10.7085,1673
188,3662201,10.9593,1991
189,2622970,9.83881,916
190,3416852,3.64198,12
191,3722152,9.36983,662
192,3416856,3.74645,13
193,2403261,10.4298,1379
194,3686635,3.9333,15
195,2427688,5.93765,61
196,3526772,4.54525,23
197,2367743,9.11293,554
198,2757427,7.21991,149
199,3466826,9.8503,923
200,3077244,3.72817,13
201,3831975,5.6231,49
202,3442396,10.1425,1130
203,2817386,8.53053,370
204,2343334,4.54853,23
205,2427720,8.84402,460
206,3942007,4.02695,16
207,3941907,6.75838,108
208,3722182,4.55023,23
209,3576749,6.31127,79
210,3332511,5.78698,55
211,3662236,7.34134,162
212,2403301,6.2015,74
213,2697490,6.91308,121
214,2672966,9.45038,700
215,2977265,11.3052,2530
216,3296981,7.91465,241
217,3746625,3.77423,14
218,3306984,7.64801,201
219,3442427,8.96326,499
220,4016485,4.08676,17
221,3416895,5.31136,40
222,3942021,6.09819,69
223,3722195,4.53172,23
224,2892800,3.98209,16
225,3077273,8.08844,272
226,3662247,3.38817,10
227,4041923,6.52188,92
228,3272566,7.13295,140
229,3416909,8.04177,264
230,3772158,4.80227,28
231,2902804,4.60034,24
232,3552344,4.42705,22
233,3112713,5.19768,37
234,3332530,4.54592,23
235,3882069,9.26093,614
236,2732942,7.95376,248
237,2673085,4.48228,22
238,3416921,5.36835,41
239,2623139,7.38701,167
240,3856554,5.56191,47
241,3526831,6.3936,84
242,2367793,7.52429,184
243,2587618,9.27093,618
244,3662265,8.75716,433
245,2842860,8.83318,456
246,3991889,12.3777,5322
247,3502411,5.12264,35
248,3307120,6.75332,108
249,2403335,7.84077,229
250,3332548,6.53199,93
251,2867392,5.63184,50
252,2623154,6.92691,122
253,3916527,10.8924,1901
254,3796620,9.82394,906
255,2952781,5.85476,58
256,3247172,4.57569,24
257,3772187,3.7365,13
258,3416943,6.83628,114
259,3941958,6.86228,116
260,2477731,4.30128,20
261,3077321,5.0952,34
262,3576812,6.34422,81
263,2453307,7.82358,227
264,3942062,7.40078,169
265,3382523,3.79386,14
266,3722248,4.23933,19
267,3442475,5.66503,51
268,2902844,4.82345,28
269,3746675,4.3502,20
270,3686728,8.99912,512
271,3502437,5.38505,42
272,2817464,4.25848,19
273,2673136,5.61409,49
274,3332576,5.40333,42
275,2623180,6.98597,127
276,2697564,8.5562,376
277,3856594,6.27219,77
278,2427791,4.69098,26
279,2867432,4.40645,21
280,2367843,5.99231,64
281,2343418,4.46669,22
282,2842911,4.82936,28
283,3992041,6.33084,80
284,3806654,3.69727,13
285,2867443,7.82078,226
286,3686750,4.98614,32
287,3417075,7.089,136
288,3416977,7.37583,166
289,2757540,7.00064,128
290,3442514,5.34196,41
291,3002873,10.2026,1178
292,4016572,10.5024,1451
293,2952834,5.65409,50
294,3662333,5.32338,40
295,3916576,8.64693,401
296,3722286,5.40786,42
297,3332615,8.95191,495
298,2902884,6.49794,90
299,3502475,4.48254,22
300,2647647,7.43863,173
301,3416996,7.23085,150
302,3942124,4.52998,23
303,3332626,8.54325,373
304,3746734,3.54275,12
305,2453365,7.71856,211
306,2673181,7.81392,225
307,3856646,5.93702,61
308,2842951,7.43451,173
309,3806689,9.59604,774
310,2453370,8.28788,313
311,2367892,5.98275,63
312,3502497,5.98272,63
313,2783099,5.86915,58
314,3991992,5.68845,52
315,3806711,8.26337,307
316,2343473,8.81056,449
317,3272686,6.7793,110
318,2623249,7.73007,212
319,3772279,5.52751,46
320,3576889,7.15296,142
321,3882190,5.17742,36
322,2587730,4.60704,24
323,3272706,4.58393,24
324,3722338,5.65157,50
325,2903034,4.6059,24
326,2902935,6.4021,85
327,2403446,4.93519,31
328,3942161,8.6557,403
329,3417146,4.77427,27
330,3332663,4.66414,25
331,3662387,9.28771,625
332,3882214,3.70075,13
333,4016639,6.27778,78
334,3832256,8.02031,260
335,2697652,5.8495,58
336,2952893,4.91788,30
337,2587747,6.03385,66
338,3442579,6.25723,76
339,3722355,8.26669,308
340,2343511,5.65484,50
341,2843091,6.90783,120
342,2757621,6.51681,92
343,3417161,10.2502,1218
344,3636879,5.06171,33
345,3942179,8.35624,328
346,2733202,3.6166,12
347,2902958,6.64118,100
348,2403470,6.93496,122
349,2318086,7.9569,248
350,2817576,4.76511,27
351,3662417,4.7687,27
352,3272736,5.12854,35
353,3576937,7.18976,146
354,2427898,4.92731,30
355,3832280,3.68139,13
356,3992148,6.01595,65
357,3882241,5.29114,39
358,2952927,4.80704,28
359,3027503,6.3852,84
360,3746809,3.45185,11
361,3856720,3.91015,15
362,2927506,5.07674,34
363,2623308,6.53527,93
364,2673257,4.72326,26
365,3637006,7.15883,143
366,2903075,6.99593,128
367,3417184,6.43593,87
368,2367963,7.61031,195
369,3832292,5.48839,45
370,3722384,6.08539,68
371,3502570,9.25155,610
372,2843131,5.3095,40
373,2892979,6.29135,78
374,3357237,7.43979,174
375,2647742,8.59121,386
376,3417201,6.44762,87
377,3832308,4.18061,18
378,2427930,7.05647,133
379,2673270,9.89104,950
380,3272761,4.20509,18
381,3662444,5.00093,32
382,2977471,4.90978,30
383,2587790,9.39258,672
384,3916686,3.68936,13
385,3882265,4.66661,25
386,3332729,4.71134,26
387,3003107,7.57615,191
388,3442641,4.24269,19
389,2893109,4.29821,20
390,2952959,4.5616,24
391,3722417,8.85372,463
392,2697721,3.72388,13
393,3027538,8.10518,275
394,3746845,6.08342,68
395,3577078,10.7437,1715
396,2783207,5.75725,54
397,3077502,6.1607,72
398,2843163,6.44478,87
399,2478017,9.30353,632
400,2977510,5.85322,58
401,3382698,6.26558,77
402,2673312,5.31148,40
403,2393538,5.46979,44
404,4016726,4.50989,23
405,2893130,7.81681,225
406,2318157,5.36,41
407,3272795,5.27591,39
408,3882304,3.28538,10
409,3357279,9.27985,622
410,3636956,5.85039,58
411,3942259,3.69353,13
412,2477933,4.90021,30
413,2587841,7.97603,252
414,3502632,7.02664,130
