COUNT,ID_REF,VALUE,
1,3881686,9.42781,689
2,2672712,9.42602,688
3,2842570,8.4991,362
4,3526544,6.37672,83
5,2902531,5.16385,36
6,2402942,7.45376,175
7,3382216,11.3688,2645
8,3771800,8.62969,396
9,2427469,4.87974,29
10,2392945,6.86993,117
11,2453006,5.28988,39
12,3552083,5.69784,52
13,3416651,7.58664,192
14,2562821,8.35961,328
15,3721851,5.59239,48
16,3442176,8.46179,353
17,2477438,6.81915,113
18,2926969,7.8149,225
19,3026969,6.11864,69
20,3796335,8.08468,271
21,2622772,6.05776,67
22,3636470,8.87768,470
23,2952497,7.1545,142
24,2367537,6.73905,107
25,3332276,5.32877,40
26,2427500,6.12186,70
27,2647315,4.97421,31
28,3136888,7.97583,252
29,3502149,3.7321,13
30,2902559,11.6349,3180
31,3831774,6.11672,69
32,3442205,7.79187,222
33,3026988,8.48901,359
34,2453036,5.3791,42
35,3466634,4.88105,29
36,3991650,6.99962,128
37,3966225,8.41352,341
38,2403080,5.33808,40
39,2867145,8.40096,338
40,3576545,6.70538,104
41,2842624,5.46242,44
42,2902574,7.38197,167
43,2392985,6.02795,65
44,3332298,3.57634,12
45,3806366,4.49817,23
46,3222404,4.26779,19
47,2452948,4.44546,22
48,3721886,6.91988,121
49,3661940,12.387,5356
50,3662041,6.89672,119
51,3416702,4.68428,26
52,2817212,5.53932,47
53,3077072,4.70831,26
54,3636522,10.0739,1078
55,2403099,5.12944,35
56,2672774,6.25951,77
57,2697308,4.93548,31
58,2403111,7.38729,167
59,2562867,9.19801,587
60,3332325,5.13248,35
61,3916290,5.21312,37
62,2902593,4.78247,28
63,2427538,4.51844,23
64,2453065,5.57055,48
65,2902609,5.07622,34
66,3332334,4.79883,28
67,4016308,8.05477,266
68,2512930,6.73516,107
69,2782694,5.10079,34
70,3612113,4.23184,19
71,3831831,6.13707,70
72,3442249,10.3402,1296
73,2452977,5.28935,39
74,2343170,7.68149,205
75,3721926,9.57373,762
76,2757278,5.30037,39
77,2697331,5.44499,44
78,4016319,4.15928,18
79,3881786,5.02029,32
80,2367599,4.83282,28
81,3382296,6.56882,95
82,3416733,4.05697,17
83,3991698,9.30533,633
84,3162486,4.63303,25
85,3466687,5.10206,34
86,2427566,6.87425,117
87,3416740,4.71304,26
88,2902633,6.0384,66
89,3722039,6.65419,101
90,2622859,5.77777,55
91,2817251,4.7437,27
92,3112543,7.82047,226
93,2672821,8.93074,488
94,3382319,6.73931,107
95,2977122,5.8497,58
96,3796428,5.635,50
97,3662086,7.18302,145
98,3636562,4.53235,23
99,3002640,7.61477,196
100,3526655,4.52219,23
101,3077128,4.47538,22
102,3662093,11.3179,2553
103,2403158,8.64797,401
104,3246888,5.30665,40
105,3662106,7.02099,130
106,3721956,10.2846,1247
107,3442282,11.2096,2368
108,2707359,7.22267,149
109,3881824,8.57611,382
110,2757319,7.80483,224
111,2892652,6.58214,96
112,3722060,8.16484,287
113,2562932,5.75648,54
114,2842707,7.33389,161
115,3746489,5.10516,34
116,3576633,4.93322,31
117,2317686,7.77687,219
118,2697372,5.40116,42
119,3162529,6.07266,67
120,3332388,5.34121,41
121,3416773,4.98321,32
122,3612166,8.50826,364
123,3502259,8.13485,281
124,2343231,5.22907,38
125,3027204,5.61208,49
126,3332403,6.54584,93
127,3806459,6.99414,127
128,3941793,5.85759,58
129,2672857,8.56402,378
130,3466740,7.25431,153
131,2817291,7.84841,230
132,2427619,6.62337,99
133,3186966,6.71468,105
134,2622912,7.00737,129
135,3112584,4.80561,28
136,3137120,6.15424,71
137,3722084,4.76684,27
138,2757347,7.67519,204
139,3442322,5.20574,37
140,3272455,6.61075,98
141,3662139,6.71411,105
142,3721989,8.54547,374
143,3077168,5.66323,51
144,2562965,5.54243,47
145,3332424,4.00615,16
146,3772056,3.9631,16
147,3662150,7.75883,217
148,3831917,7.81248,225
149,2403215,6.69921,104
150,2902707,11.0284,2089
151,2647458,7.30902,159
152,4016396,5.89605,60
153,2732844,5.19292,37
154,3881874,6.72993,106
155,3662158,4.16622,18
156,3442345,4.13129,18
157,2477598,5.83846,57
