,ID_REF,VALUE,COUNT
1,3881686,9.62144,788
2,2672712,9.35049,653
3,2842570,10.2211,1194
4,3526544,6.82254,113
5,2902531,5.03323,33
6,2402942,6.86428,117
7,3382216,8.76647,435
8,3771800,11.0381,2103
9,2427469,3.80063,14
10,2392945,6.46815,89
11,2453006,4.63006,25
12,3552083,12.7232,6762
13,3416651,5.75146,54
14,2562821,9.75757,866
15,3721851,6.67847,102
16,3442176,8.78446,441
17,2477438,5.62115,49
18,2926969,4.87782,29
19,3026969,6.08401,68
20,3796335,6.80802,112
21,2622772,5.53235,46
22,3636470,8.93701,490
23,2952497,6.73274,106
24,2367537,9.18229,581
25,3332276,3.68369,13
26,2427500,7.42451,172
27,2647315,3.79433,14
28,3136888,10.3706,1324
29,3502149,3.40304,11
30,2902559,11.6023,3109
31,3831774,7.34892,163
32,3442205,9.77611,877
33,3026988,10.3083,1268
34,2453036,4.58966,24
35,3466634,3.5886,12
36,3991650,10.9788,2018
37,3966225,9.7664,871
38,2403080,4.39358,21
39,2867145,9.47895,714
40,3576545,8.14518,283
41,2842624,4.56347,24
42,2902574,5.94733,62
43,2392985,4.30471,20
44,3332298,3.80362,14
45,3806366,3.898,15
46,3222404,3.53315,12
47,2452948,3.78453,14
48,3721886,8.06381,268
49,3661940,9.98178,1011
50,3662041,8.92699,487
51,3416702,3.59146,12
52,2817212,4.20397,18
53,3077072,3.97298,16
54,3636522,10.9707,2007
55,2403099,4.54882,23
56,2672774,6.70234,104
57,2697308,3.53706,12
58,2403111,8.94568,493
59,2562867,9.14342,566
60,3332325,3.45899,11
61,3916290,3.70391,13
62,2902593,3.94722,15
63,2427538,3.92037,15
64,2453065,4.49189,23
65,2902609,4.4706,22
66,3332334,3.52115,11
67,4016308,9.30704,633
68,2512930,7.23884,151
69,2782694,3.85941,15
70,3612113,3.66405,13
71,3831831,5.89268,59
72,3442249,7.84846,230
73,2452977,3.87027,15
74,2343170,5.89913,60
75,3721926,9.35911,657
76,2757278,6.20973,74
77,2697331,6.46897,89
78,4016319,3.51811,11
79,3881786,6.28242,78
80,2367599,3.67515,13
81,3382296,6.81143,112
82,3416733,5.71542,53
83,3991698,7.75932,217
84,3162486,3.5722,12
85,3466687,3.84406,14
86,2427566,4.65014,25
87,3416740,3.65967,13
88,2902633,5.82368,57
89,3722039,6.362,82
90,2622859,6.82072,113
91,2817251,3.82826,14
92,3112543,7.89291,238
93,2672821,4.95998,31
94,3382319,5.58762,48
95,2977122,4.69721,26
96,3796428,4.42581,21
97,3662086,5.73266,53
98,3636562,3.79989,14
99,3002640,5.19123,37
100,3526655,4.41877,21
101,3077128,4.1796,18
102,3662093,5.76018,54
103,2403158,7.51077,182
104,3246888,5.9305,61
105,3662106,4.86713,29
106,3721956,6.76054,108
107,3442282,11.6123,3131
108,2707359,6.74208,107
109,3881824,7.65165,201
110,2757319,9.96031,996
111,2892652,6.51462,91
112,3722060,9.93129,976
113,2562932,4.50134,23
114,2842707,8.43143,345
115,3746489,4.31193,20
116,3576633,3.6391,12
117,2317686,4.9805,32
118,2697372,4.66279,25
119,3162529,4.68522,26
120,3332388,3.78801,14
121,3416773,3.81286,14
122,3612166,7.33094,161
123,3502259,6.20958,74
124,2343231,4.44787,22
125,3027204,4.88005,29
126,3332403,4.40162,21
127,3806459,4.38175,21
128,3941793,5.21346,37
129,2672857,10.9339,1956
130,3466740,10.0725,1077
131,2817291,7.83665,229
132,2427619,6.64898,100
133,3186966,5.01061,32
134,2622912,8.72021,422
135,3112584,3.59572,12
136,3137120,6.1445,71
137,3722084,4.0271,16
138,2757347,7.92452,243
139,3442322,7.47354,178
140,3272455,5.21118,37
141,3662139,4.85644,29
142,3721989,4.00685,16
143,3077168,5.86504,58
144,2562965,3.73242,13
145,3332424,3.44102,11
146,3772056,3.44521,11
147,3662150,3.96593,16
148,3831917,8.55378,376
149,2403215,5.56607,47
150,2902707,10.5317,1480
151,2647458,8.60638,390
152,4016396,7.48144,179
153,2732844,3.92487,15
154,3881874,8.46482,353
155,3662158,3.16636,9
156,3442345,4.10462,17
157,2477598,5.14166,35
158,3686587,7.82845,227
159,2587520,10.4729,1421
160,2867284,4.77951,27
161,3222534,5.28552,39
162,3662170,3.41983,11
163,3416830,3.23136,9
164,3722129,3.66626,13
165,2902725,8.8529,462
166,3332449,3.78529,14
167,3941848,6.25531,76
168,3416834,3.43588,11
169,3382410,8.49311,360
170,2782822,9.49502,722
171,3576704,3.85842,15
172,2927255,5.55383,47
173,2952679,10.3921,1344
174,3077214,3.45758,11
175,4016428,5.11762,35
176,3831945,5.00117,32
177,3991814,6.751,108
178,2892734,3.4373,11
179,3772090,4.63095,25
180,3806525,8.29367,314
181,2902736,10.0535,1063
182,2343289,9.31298,636
183,2892738,8.40383,339
184,3882012,7.35561,164
185,3332465,3.53978,12
186,3662190,3.71099,13
187,3746574,7.42645,172
188,3662201,11.0977,2191
189,2622970,6.49665,90
190,3416852,3.31041,10
191,3722152,10.5314,1480
192,3416856,3.70056,13
193,2403261,7.3509,163
194,3686635,3.28366,10
195,2427688,8.86167,465
196,3526772,4.84916,29
197,2367743,9.76868,872
198,2757427,7.44513,174
199,3466826,9.31997,639
200,3077244,3.4999,11
201,3831975,3.76429,14
202,3442396,11.5197,2936
203,2817386,9.03836,526
204,2343334,4.08771,17
205,2427720,10.2174,1191
206,3942007,3.93367,15
207,3941907,6.05435,66
208,3722182,3.90651,15
209,3576749,4.297,20
210,3332511,4.48167,22
211,3662236,4.12218,17
212,2403301,8.38925,335
213,2697490,7.77322,219
214,2672966,8.60078,388
215,2977265,7.08892,136
216,3296981,5.45575,44
217,3746625,3.69317,13
218,3306984,8.19804,294
219,3442427,9.34026,648
220,4016485,4.15385,18
221,3416895,4.13083,18
222,3942021,5.01695,32
223,3722195,3.69245,13
224,2892800,3.86754,15
225,3077273,8.11926,278
226,3662247,3.42285,11
227,4041923,6.0401,66
228,3272566,5.69973,52
229,3416909,8.58154,383
230,3772158,7.28734,156
231,2902804,3.77488,14
232,3552344,4.0635,17
233,3112713,7.47467,178
234,3332530,4.24779,19
235,3882069,10.8206,1809
236,2732942,8.31335,318
237,2673085,8.224,299
238,3416921,4.94494,31
239,2623139,9.16568,574
240,3856554,6.63867,100
241,3526831,6.58686,96
242,2367793,8.4384,347
243,2587618,8.7456,429
244,3662265,10.1875,1166
245,2842860,8.35416,327
246,3991889,11.4932,2883
247,3502411,4.83544,29
248,3307120,7.51503,183
249,2403335,8.76171,434
250,3332548,6.53983,93
251,2867392,5.28783,39
252,2623154,8.45176,350
253,3916527,11.1214,2228
254,3796620,5.80944,56
255,2952781,6.64715,100
256,3247172,4.19774,18
257,3772187,4.34824,20
258,3416943,7.75428,216
259,3941958,5.21015,37
260,2477731,3.74347,13
261,3077321,4.66498,25
262,3576812,7.23079,150
263,2453307,6.83917,114
264,3942062,7.74823,215
265,3382523,3.9562,16
266,3722248,3.74407,13
267,3442475,5.20393,37
268,2902844,4.24799,19
269,3746675,3.63431,12
270,3686728,9.29239,627
271,3502437,5.53129,46
272,2817464,3.70355,13
273,2673136,6.64148,100
274,3332576,4.51372,23
275,2623180,9.25926,613
276,2697564,6.21107,74
277,3856594,9.80293,893
278,2427791,4.28472,19
279,2867432,4.33584,20
280,2367843,8.7567,433
281,2343418,4.27866,19
282,2842911,5.20227,37
283,3992041,4.89629,30
284,3806654,3.69313,13
285,2867443,5.15253,36
286,3686750,5.32692,40
287,3417075,4.6228,25
288,3416977,9.35796,656
289,2757540,8.30316,316
290,3442514,5.22745,37
291,3002873,9.60167,777
292,4016572,10.3258,1283
293,2952834,5.86319,58
294,3662333,4.81635,28
295,3916576,10.8444,1839
296,3722286,6.14637,71
297,3332615,9.91691,967
298,2902884,6.82731,114
299,3502475,4.04952,17
300,2647647,8.57083,380
301,3416996,8.74669,430
302,3942124,4.13889,18
303,3332626,7.79934,223
304,3746734,3.91778,15
305,2453365,5.01881,32
306,2673181,8.63422,397
307,3856646,6.72605,106
308,2842951,9.3458,651
309,3806689,10.2124,1186
310,2453370,7.59416,193
311,2367892,5.49231,45
312,3502497,7.50269,181
313,2783099,6.02204,65
314,3991992,6.01146,65
315,3806711,8.94785,494
316,2343473,3.84315,14
317,3272686,5.74145,53
318,2623249,6.95981,124
319,3772279,5.12181,35
320,3576889,7.91924,242
321,3882190,4.36293,21
322,2587730,5.29729,39
323,3272706,4.71303,26
324,3722338,4.31879,20
325,2903034,4.21978,19
326,2902935,8.29676,314
327,2403446,4.62836,25
328,3942161,8.63699,398
329,3417146,10.1513,1137
330,3332663,4.15368,18
331,3662387,8.19812,294
332,3882214,3.7114,13
333,4016639,5.29575,39
334,3832256,6.42662,86
335,2697652,5.13669,35
336,2952893,4.02035,16
337,2587747,6.88589,118
338,3442579,4.76513,27
339,3722355,10.1881,1167
340,2343511,3.98073,16
341,2843091,6.08662,68
342,2757621,4.97695,31
343,3417161,9.57871,765
344,3636879,4.6938,26
345,3942179,8.20986,296
346,2733202,3.28447,10
347,2902958,4.43656,22
348,2403470,9.03566,525
349,2318086,6.17091,72
350,2817576,5.52058,46
351,3662417,4.05278,17
352,3272736,6.34453,81
353,3576937,5.82402,57
354,2427898,4.28289,19
355,3832280,3.7247,13
356,3992148,7.00778,129
357,3882241,4.40168,21
358,2952927,3.80538,14
359,3027503,5.5561,47
360,3746809,3.46543,11
361,3856720,3.95523,16
362,2927506,4.68583,26
363,2623308,6.08675,68
364,2673257,4.9623,31
365,3637006,6.76242,109
366,2903075,6.81168,112
367,3417184,6.22816,75
368,2367963,6.6243,99
369,3832292,5.64177,50
370,3722384,8.37008,331
371,3502570,8.67363,408
372,2843131,4.49442,23
373,2892979,8.30065,315
374,3357237,10.4919,1440
375,2647742,9.41156,681
376,3417201,7.82687,227
377,3832308,3.86206,15
378,2427930,8.75768,433
379,2673270,10.5075,1456
380,3272761,4.08363,17
381,3662444,4.10881,17
382,2977471,6.24603,76
383,2587790,4.71208,26
