,ID_REF,VALUE,COUNT
1,3881686,9.14666,84
2,2672712,9.33457,87
3,2842570,10.0628,101
4,3526544,6.78211,46
5,2902531,5.40956,29
6,2402942,6.35176,40
7,3382216,8.09478,66
8,3771800,11.3307,128
9,2427469,5.08072,26
10,2392945,6.41861,41
11,2453006,5.07064,26
12,3552083,11.8055,139
13,3416651,6.15936,38
14,2562821,9.70782,94
15,3721851,6.07185,37
16,3442176,8.8223,78
17,2477438,5.17334,27
18,2926969,5.1082,26
19,3026969,5.04601,25
20,3796335,6.95208,48
21,2622772,5.6297,32
22,3636470,9.02726,81
23,2952497,5.77254,33
24,2367537,9.2435,85
25,3332276,4.03576,16
26,2427500,5.40876,29
27,2647315,4.22094,18
28,3136888,8.865,79
29,3502149,4.03211,16
30,2902559,11.6799,136
31,3831774,6.62239,44
32,3442205,9.37565,88
33,3026988,9.9058,98
34,2453036,5.15061,27
35,3466634,4.42576,20
36,3991650,10.9267,119
37,3966225,9.5319,91
38,2403080,5.26202,28
39,2867145,8.62213,74
40,3576545,7.98363,64
41,2842624,5.09683,26
42,2902574,4.65773,22
43,2392985,4.93959,24
44,3332298,4.09758,17
45,3806366,4.47333,20
46,3222404,4.17596,17
47,2452948,3.86679,15
48,3721886,8.08795,65
49,3661940,8.21813,68
50,3662041,8.70845,76
51,3416702,3.61841,13
52,2817212,4.62835,21
53,3077072,4.11182,17
54,3636522,10.6254,113
55,2403099,4.75636,23
56,2672774,6.77907,46
57,2697308,4.06013,16
58,2403111,8.61547,74
59,2562867,8.81596,78
60,3332325,4.01272,16
61,3916290,3.75761,14
62,2902593,4.92878,24
63,2427538,4.84439,23
64,2453065,4.98533,25
65,2902609,4.22702,18
66,3332334,3.79043,14
67,4016308,9.44655,89
68,2512930,6.86349,47
69,2782694,4.41314,19
70,3612113,3.62715,13
71,3831831,5.81917,34
72,3442249,7.58392,58
73,2452977,3.95939,16
74,2343170,5.63093,32
75,3721926,9.67946,94
76,2757278,5.17592,27
77,2697331,6.28378,39
78,4016319,3.80557,14
79,3881786,6.77359,46
80,2367599,3.85843,15
81,3382296,5.85835,34
82,3416733,5.49846,30
83,3991698,8.31141,69
84,3162486,4.26289,18
85,3466687,4.47509,20
86,2427566,4.51914,20
87,3416740,4.06585,17
88,2902633,5.76315,33
89,3722039,5.92319,35
90,2622859,6.0775,37
91,2817251,4.68636,22
92,3112543,7.85606,62
93,2672821,5.77262,33
94,3382319,5.73361,33
95,2977122,4.28137,18
96,3796428,4.76244,23
97,3662086,6.67171,45
98,3636562,4.11373,17
99,3002640,5.93918,35
100,3526655,4.23223,18
101,3077128,4.49071,20
102,3662093,7.03434,49
103,2403158,7.52976,57
104,3246888,5.81795,34
105,3662106,7.00428,49
106,3721956,5.78502,33
107,3442282,11.5034,132
108,2707359,6.69608,45
109,3881824,6.96726,49
110,2757319,10.1193,102
111,2892652,6.68304,45
112,3722060,10.3311,107
113,2562932,5.20577,27
114,2842707,7.7999,61
115,3746489,4.88993,24
116,3576633,3.88067,15
117,2317686,4.94945,24
118,2697372,5.04289,25
119,3162529,4.72599,22
120,3332388,4.25268,18
121,3416773,4.82541,23
122,3612166,8.94946,80
123,3502259,6.20093,38
124,2343231,4.87372,24
125,3027204,5.70791,33
126,3332403,4.8623,24
127,3806459,4.70294,22
128,3941793,7.13259,51
129,2672857,10.7752,116
130,3466740,10.5617,112
131,2817291,6.9286,48
132,2427619,4.92654,24
133,3186966,6.27339,39
134,2622912,9.28197,86
135,3112584,3.8503,15
136,3137120,4.75391,23
137,3722084,4.90775,24
138,2757347,8.28065,69
139,3442322,7.19651,52
140,3272455,5.74054,33
141,3662139,5.9967,36
142,3721989,4.42467,20
143,3077168,6.55031,43
144,2562965,4.37331,19
145,3332424,4.31265,19
146,3772056,4.20685,18
147,3662150,4.53057,21
148,3831917,7.47759,56
149,2403215,5.91294,35
150,2902707,10.6803,114
151,2647458,7.50968,56
152,4016396,6.95061,48
153,2732844,6.8913,47
154,3881874,7.8781,62
155,3662158,3.61213,13
156,3442345,4.41572,19
157,2477598,4.82553,23
158,3686587,7.49325,56
159,2587520,10.5619,112
160,2867284,5.30008,28
161,3222534,5.41218,29
162,3662170,3.82485,15
163,3416830,3.53442,12
164,3722129,3.7968,14
165,2902725,8.3776,70
166,3332449,4.28629,18
167,3941848,6.92806,48
168,3416834,5.05919,26
169,3382410,7.43655,55
170,2782822,9.3414,87
171,3576704,4.01732,16
172,2927255,4.77477,23
173,2952679,10.595,112
174,3077214,3.4817,12
175,4016428,4.96643,25
176,3831945,4.77206,23
177,3991814,6.20949,39
178,2892734,3.52701,12
179,3772090,5.00474,25
180,3806525,8.16899,67
181,2902736,10.2975,106
182,2343289,9.65204,93
183,2892738,8.38055,70
184,3882012,7.50645,56
185,3332465,3.69714,14
186,3662190,3.85441,15
187,3746574,9.76994,95
188,3662201,11.32,128
189,2622970,6.08665,37
190,3416852,4.0104,16
191,3722152,10.6198,113
192,3416856,3.61514,13
193,2403261,8.51646,73
194,3686635,3.49756,12
195,2427688,7.81347,61
196,3526772,5.6723,32
197,2367743,9.80647,96
198,2757427,7.73431,60
199,3466826,9.12914,83
200,3077244,3.78746,14
201,3831975,4.24886,18
202,3442396,11.6033,135
203,2817386,8.93813,80
204,2343334,4.42248,20
205,2427720,10.2125,104
206,3942007,3.87988,15
207,3941907,5.7916,34
208,3722182,4.2679,18
209,3576749,6.33415,40
210,3332511,5.17782,27
211,3662236,5.61329,32
212,2403301,8.25577,68
213,2697490,8.33219,69
214,2672966,6.69147,45
215,2977265,5.57907,31
216,3296981,7.27941,53
217,3746625,3.62995,13
218,3306984,7.9943,64
219,3442427,9.26913,86
220,4016485,3.86101,15
221,3416895,5.18795,27
222,3942021,4.60816,21
223,3722195,4.45674,20
224,2892800,4.05164,16
225,3077273,7.45653,56
226,3662247,3.84588,15
227,4041923,5.24343,27
228,3272566,5.69612,32
229,3416909,9.19014,84
230,3772158,8.2221,68
231,2902804,4.27866,18
232,3552344,4.03065,16
233,3112713,6.90146,48
234,3332530,4.56964,21
235,3882069,11.3423,129
236,2732942,8.49187,72
237,2673085,7.95059,63
238,3416921,5.50439,30
239,2623139,9.22969,85
240,3856554,6.66791,44
241,3526831,6.08865,37
242,2367793,7.62908,58
243,2587618,8.63016,74
244,3662265,10.1281,103
245,2842860,8.24613,68
246,3991889,9.98637,100
247,3502411,5.48115,30
248,3307120,7.80284,61
249,2403335,8.56905,73
250,3332548,6.68882,45
251,2867392,5.30441,28
252,2623154,7.77075,60
253,3916527,11.1812,125
254,3796620,5.53771,31
255,2952781,6.45263,42
256,3247172,5.58202,31
257,3772187,4.72393,22
258,3416943,7.02502,49
259,3941958,5.3457,29
260,2477731,4.17275,17
261,3077321,5.05632,26
262,3576812,6.64412,44
263,2453307,7.63796,58
264,3942062,7.38158,54
265,3382523,4.47992,20
266,3722248,4.56965,21
267,3442475,6.84256,47
268,2902844,4.46552,20
269,3746675,4.71945,22
270,3686728,8.82874,78
271,3502437,6.66326,44
272,2817464,3.70685,14
273,2673136,6.45116,42
274,3332576,5.1205,26
275,2623180,8.1641,67
276,2697564,6.38725,41
277,3856594,9.32562,87
278,2427791,4.75862,23
279,2867432,4.35511,19
280,2367843,7.93998,63
281,2343418,4.32408,19
282,2842911,5.14636,26
283,3992041,5.43175,30
284,3806654,4.14473,17
285,2867443,5.18015,27
286,3686750,5.58412,31
287,3417075,5.09484,26
288,3416977,9.21667,85
289,2757540,7.9248,63
290,3442514,5.60832,31
291,3002873,9.52138,91
292,4016572,10.2748,106
293,2952834,5.52519,31
294,3662333,5.62986,32
295,3916576,10.8566,118
296,3722286,5.32847,28
297,3332615,10.4118,108
298,2902884,7.08637,50
299,3502475,4.55796,21
300,2647647,8.40466,71
301,3416996,7.96126,63
302,3942124,4.60808,21
303,3332626,7.55283,57
304,3746734,3.55035,13
305,2453365,4.73301,22
306,2673181,7.91419,63
307,3856646,6.78062,46
308,2842951,8.20416,67
309,3806689,9.56761,92
310,2453370,7.15442,51
311,2367892,4.31783,19
312,3502497,7.25646,53
313,2783099,5.7728,33
314,3991992,6.51524,42
315,3806711,9.44078,89
316,2343473,8.29573,69
317,3272686,6.45704,42
318,2623249,6.90049,48
319,3772279,5.61648,32
320,3576889,6.95836,48
321,3882190,5.12605,26
322,2587730,5.12509,26
323,3272706,5.81667,34
324,3722338,4.37448,19
325,2903034,4.72365,22
326,2902935,6.69932,45
327,2403446,5.66331,32
328,3942161,8.77978,77
329,3417146,10.4338,109
330,3332663,4.86514,24
331,3662387,7.96169,63
332,3882214,3.94283,16
333,4016639,4.92408,24
334,3832256,7.28764,53
335,2697652,5.65399,32
336,2952893,4.96628,25
337,2587747,7.14255,51
338,3442579,6.20562,39
339,3722355,9.18534,84
340,2343511,4.29204,18
341,2843091,6.68341,45
342,2757621,4.71575,22
343,3417161,9.28101,86
344,3636879,5.13296,26
345,3942179,7.63534,58
346,2733202,3.81766,15
347,2902958,4.94773,24
348,2403470,9.30059,87
349,2318086,6.01286,36
350,2817576,5.37112,29
351,3662417,4.90973,24
352,3272736,5.92467,35
353,3576937,6.32362,40
354,2427898,4.74174,22
355,3832280,4.45872,20
356,3992148,6.75209,46
357,3882241,4.77778,23
358,2952927,4.67365,22
359,3027503,5.90417,35
360,3746809,3.41961,12
361,3856720,4.70565,22
362,2927506,5.30705,28
363,2623308,4.42962,20
364,2673257,4.49115,20
365,3637006,7.06658,50
366,2903075,6.36093,40
367,3417184,6.65108,44
368,2367963,5.83963,34
369,3832292,6.07647,37
370,3722384,7.02909,49
371,3502570,8.18004,67
372,2843131,5.2783,28
373,2892979,7.45971,56
374,3357237,9.79966,96
375,2647742,9.45307,89
376,3417201,6.2842,39
377,3832308,4.50452,20
378,2427930,8.82722,78
