,ID_REF,VALUE,COUNT
1,3881686,9.48635,717
2,2672712,9.59579,774
3,2842570,10.2083,1183
4,3526544,6.93849,123
5,2902531,4.85053,29
6,2402942,6.33548,81
7,3382216,8.35197,327
8,3771800,11.3272,2569
9,2427469,4.25655,19
10,2392945,5.73118,53
11,2453006,4.69351,26
12,3552083,10.7664,1742
13,3416651,6.16959,72
14,2562821,9.47254,710
15,3721851,6.65384,101
16,3442176,8.5305,370
17,2477438,5.28591,39
18,2926969,5.07307,34
19,3026969,5.37508,42
20,3796335,6.88611,118
21,2622772,5.4746,44
22,3636470,9.25332,610
23,2952497,6.96693,125
24,2367537,9.23469,602
25,3332276,4.14262,18
26,2427500,7.01848,130
27,2647315,3.95715,16
28,3136888,10.6939,1656
29,3502149,3.82246,14
30,2902559,11.6416,3195
31,3831774,7.12647,140
32,3442205,9.79199,887
33,3026988,10.1117,1106
34,2453036,4.7404,27
35,3466634,3.55618,12
36,3991650,11.1705,2305
37,3966225,9.40306,677
38,2403080,4.72372,26
39,2867145,9.37084,662
40,3576545,8.26851,308
41,2842624,4.70784,26
42,2902574,5.97769,63
43,2392985,4.27683,19
44,3332298,4.16076,18
45,3806366,4.33652,20
46,3222404,3.67378,13
47,2452948,4.06834,17
48,3721886,7.98848,254
49,3661940,8.45391,351
50,3662041,9.4548,702
51,3416702,3.68756,13
52,2817212,4.06625,17
53,3077072,4.11204,17
54,3636522,10.9494,1977
55,2403099,4.06619,17
56,2672774,6.88969,119
57,2697308,3.74119,13
58,2403111,8.84185,459
59,2562867,8.94242,492
60,3332325,3.90578,15
61,3916290,3.7645,14
62,2902593,4.59663,24
63,2427538,3.71012,13
64,2453065,4.41245,21
65,2902609,4.45359,22
66,3332334,3.56882,12
67,4016308,9.52452,736
68,2512930,6.66661,102
69,2782694,4.15203,18
70,3612113,3.37657,10
71,3831831,5.89833,60
72,3442249,7.66888,203
73,2452977,4.14713,18
74,2343170,5.8228,57
75,3721926,9.56833,759
76,2757278,6.03146,65
77,2697331,6.75269,108
78,4016319,3.78529,14
79,3881786,6.52513,92
80,2367599,3.60761,12
81,3382296,7.01388,129
82,3416733,6.33651,81
83,3991698,8.49573,361
84,3162486,3.58316,12
85,3466687,3.86975,15
86,2427566,4.79583,28
87,3416740,3.80746,14
88,2902633,5.925,61
89,3722039,6.91941,121
90,2622859,6.49266,90
91,2817251,3.66449,13
92,3112543,7.90708,240
93,2672821,5.33802,40
94,3382319,5.75963,54
95,2977122,4.44731,22
96,3796428,4.61571,25
97,3662086,6.57339,95
98,3636562,3.86967,15
99,3002640,5.42709,43
100,3526655,4.34859,20
101,3077128,4.10056,17
102,3662093,6.38077,83
103,2403158,7.32784,161
104,3246888,5.50974,46
105,3662106,5.90408,60
106,3721956,6.37013,83
107,3442282,11.7717,3497
108,2707359,6.71676,105
109,3881824,7.47481,178
110,2757319,9.96168,997
111,2892652,5.95187,62
112,3722060,10.2147,1188
113,2562932,4.77975,27
114,2842707,8.2732,309
115,3746489,4.43151,22
116,3576633,3.6784,13
117,2317686,4.62442,25
118,2697372,4.16667,18
119,3162529,4.94479,31
120,3332388,4.24922,19
121,3416773,4.26013,19
122,3612166,7.85999,232
123,3502259,6.1719,72
124,2343231,5.10129,34
125,3027204,5.01585,32
126,3332403,3.98005,16
127,3806459,4.38107,21
128,3941793,6.79792,111
129,2672857,10.942,1967
130,3466740,10.983,2024
131,2817291,7.03646,131
132,2427619,5.25251,38
133,3186966,5.13403,35
134,2622912,9.1807,580
135,3112584,3.72133,13
136,3137120,7.08725,136
137,3722084,4.34324,20
138,2757347,8.05987,267
139,3442322,7.46344,176
140,3272455,5.36116,41
141,3662139,5.27372,39
142,3721989,3.95813,16
143,3077168,7.0542,133
144,2562965,3.62365,12
145,3332424,3.6996,13
146,3772056,3.39024,10
147,3662150,4.07592,17
148,3831917,7.80147,223
149,2403215,5.49876,45
150,2902707,10.7825,1761
151,2647458,8.38303,334
152,4016396,7.37342,166
153,2732844,4.2587,19
154,3881874,8.52216,368
155,3662158,3.34467,10
156,3442345,4.24635,19
157,2477598,5.08858,34
158,3686587,7.70359,208
159,2587520,10.6208,1575
