,ID_REF,VALUE,COUNT
1,3881686,9.78496,882
2,2672712,9.43452,692
3,2842570,10.201,1177
4,3526544,6.92558,122
5,2902531,5.10629,34
6,2402942,6.86043,116
7,3382216,8.3313,322
8,3771800,11.375,2656
9,2427469,4.82619,28
10,2392945,6.37843,83
11,2453006,4.75734,27
12,3552083,8.24447,303
13,3416651,6.45989,88
14,2562821,9.60048,776
15,3721851,6.4991,90
16,3442176,8.7458,429
17,2477438,5.43507,43
18,2926969,5.07706,34
19,3026969,6.54084,93
20,3796335,7.12156,139
21,2622772,5.69828,52
22,3636470,9.05462,532
23,2952497,6.60984,98
24,2367537,8.90745,480
25,3332276,3.8779,15
26,2427500,5.18842,36
27,2647315,3.98733,16
28,3136888,9.93958,982
29,3502149,3.48768,11
30,2902559,11.771,3495
31,3831774,6.97203,126
32,3442205,9.56158,756
33,3026988,10.1433,1131
34,2453036,4.54108,23
35,3466634,3.89385,15
36,3991650,10.959,1991
37,3966225,9.49481,721
38,2403080,4.73871,27
39,2867145,9.11422,554
40,3576545,8.12135,278
41,2842624,4.71893,26
42,2902574,5.28804,39
43,2392985,4.38136,21
44,3332298,4.00325,16
45,3806366,3.92125,15
46,3222404,3.56372,12
47,2452948,3.65617,13
48,3721886,7.73483,213
49,3661940,8.73697,427
50,3662041,9.34118,649
51,3416702,3.56763,12
52,2817212,4.8887,30
53,3077072,3.96427,16
54,3636522,10.57,1520
55,2403099,4.51748,23
56,2672774,7.25476,153
57,2697308,3.69057,13
58,2403111,9.14579,566
59,2562867,8.75967,433
60,3332325,3.5625,12
61,3916290,3.89711,15
62,2902593,4.67682,26
63,2427538,4.04908,17
64,2453065,4.44561,22
65,2902609,4.93822,31
66,3332334,3.62974,12
67,4016308,9.29943,630
68,2512930,6.76858,109
69,2782694,4.09613,17
70,3612113,3.46954,11
71,3831831,5.54171,47
72,3442249,7.36783,165
73,2452977,3.81408,14
74,2343170,5.88494,59
75,3721926,9.78297,881
76,2757278,6.14832,71
77,2697331,5.83754,57
78,4016319,3.6661,13
79,3881786,6.76332,109
80,2367599,4.01282,16
81,3382296,6.46842,89
82,3416733,7.43344,173
83,3991698,8.47696,356
84,3162486,3.83677,14
85,3466687,3.80623,14
86,2427566,4.39276,21
87,3416740,3.81224,14
88,2902633,5.25981,38
89,3722039,6.56919,95
90,2622859,6.65866,101
91,2817251,6.62696,99
92,3112543,7.58898,193
93,2672821,6.43187,86
94,3382319,5.89201,59
95,2977122,4.21245,19
96,3796428,4.19118,18
97,3662086,6.4273,86
